Dryer, Matthew S.. 2011. Order of Object and Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 83A.
Available online at http://wals.info/feature/83A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
krn	Korana	1	OV	-29.500	20.500	Central Khoisan	Khoisan	Word Order
kho	Khoekhoe	1	OV	-25.500	18.000	Central Khoisan	Khoisan	Word Order
kxo	Kxoe	1	OV	-17.500	22.500	Central Khoisan	Khoisan	Word Order
laf	Lafofa	1	OV	10.250	31.250	Tegem	Niger-Congo	Word Order
ras	Rashad	1	OV	11.833	31.050	Rashad	Niger-Congo	Word Order
ori	Orig	1	OV	12.167	30.833	Rashad	Niger-Congo	Word Order
bus	Busa	1	OV	9.667	4.000	Eastern Mande	Niger-Congo	Word Order
man	Mano	1	OV	7.000	-9.000	Eastern Mande	Niger-Congo	Word Order
dan	Dan	1	OV	7.500	-8.000	Eastern Mande	Niger-Congo	Word Order
maw	Maninka (Western)	1	OV	13.000	-11.000	Western Mande	Niger-Congo	Word Order
mkg	Mandinka (Gambian)	1	OV	13.417	-16.000	Western Mande	Niger-Congo	Word Order
bam	Bambara	1	OV	12.500	-7.500	Western Mande	Niger-Congo	Word Order
mka	Mauka	1	OV	8.333	-7.500	Western Mande	Niger-Congo	Word Order
vai	Vai	1	OV	6.917	-11.250	Western Mande	Niger-Congo	Word Order
sus	Susu	1	OV	10.000	-13.000	Western Mande	Niger-Congo	Word Order
mde	Mende	1	OV	7.833	-11.500	Western Mande	Niger-Congo	Word Order
snn	Soninke	1	OV	15.000	-10.500	Western Mande	Niger-Congo	Word Order
bsr	Basari	1	OV	12.667	-13.000	Northern Atlantic	Niger-Congo	Word Order
ijo	Ijo (Kolokuma)	1	OV	4.917	5.667	Ijoid	Niger-Congo	Word Order
sme	Seme	1	OV	11.000	-4.917	Kru	Niger-Congo	Word Order
dds	Donno So	1	OV	14.333	-3.583	Dogon	Niger-Congo	Word Order
tou	Toussian	1	OV	11.000	-4.667	Gur	Niger-Congo	Word Order
tny	Tenyer	1	OV	10.667	-4.500	Gur	Niger-Congo	Word Order
sup	Supyire	1	OV	11.500	-5.583	Gur	Niger-Congo	Word Order
tnn	Tunen	1	OV	4.750	10.667	Bantoid	Niger-Congo	Word Order
kse	Koyraboro Senni	1	OV	16.000	0.000	Songhay	Nilo-Saharan	Word Order
