Dryer, Matthew S. (with Gensler, Orin D.). 2011. Order of Object, Oblique, and Verb.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 84A.
Available online at http://wals.info/feature/84A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
xam	/Xam	1	VOX	-31.000	21.000	Southern Khoisan	Khoisan	Word Order
mro	Moro	1	VOX	11.000	30.167	Heiban	Niger-Congo	Word Order
fua	Fula (Cameroonian)	1	VOX	9.167	13.500	Northern Atlantic	Niger-Congo	Word Order
wlf	Wolof	1	VOX	15.250	-16.000	Northern Atlantic	Niger-Congo	Word Order
grb	Grebo	1	VOX	5.000	-8.000	Kru	Niger-Congo	Word Order
kfe	Koromfe	1	VOX	14.250	-0.917	Gur	Niger-Congo	Word Order
moo	Mooré	1	VOX	12.833	-1.250	Gur	Niger-Congo	Word Order
bmb	Bimoba	1	VOX	10.500	0.000	Gur	Niger-Congo	Word Order
mdg	Mundang	1	VOX	9.667	14.500	Adamawa	Niger-Congo	Word Order
gbb	Gbeya Bossangoa	1	VOX	6.667	17.500	Ubangi	Niger-Congo	Word Order
san	Sango	1	VOX	5.000	18.000	Ubangi	Niger-Congo	Word Order
bak	Baka (in Cameroon)	1	VOX	2.583	13.583	Ubangi	Niger-Congo	Word Order
mga	Mondunga	1	VOX	2.250	21.500	Ubangi	Niger-Congo	Word Order
ayi	Anyi	1	VOX	7.000	-3.500	Kwa	Niger-Congo	Word Order
ega	Ega	1	VOX	5.500	-5.500	Kwa	Niger-Congo	Word Order
adi	Adioukrou	1	VOX	5.417	-4.583	Kwa	Niger-Congo	Word Order
nup	Nupe	1	VOX	9.167	5.417	Nupoid	Niger-Congo	Word Order
ige	Igede	1	VOX	7.000	8.167	Idomoid	Niger-Congo	Word Order
bni	Bini	1	VOX	6.417	5.833	Edoid	Niger-Congo	Word Order
egn	Engenni	1	VOX	5.167	6.383	Edoid	Niger-Congo	Word Order
igb	Igbo	1	VOX	6.000	7.333	Igboid	Niger-Congo	Word Order
izi	Izi	1	VOX	6.333	8.000	Igboid	Niger-Congo	Word Order
juk	Jukun	1	VOX	6.917	10.417	Platoid	Niger-Congo	Word Order
bir	Birom	1	VOX	9.667	8.833	Platoid	Niger-Congo	Word Order
obo	Obolo	1	VOX	4.583	7.833	Cross River	Niger-Congo	Word Order
duk	Duka	1	VOX	11.167	5.083	Kainji	Niger-Congo	Word Order
jar	Jarawa (in Nigeria)	1	VOX	9.500	10.500	Bantoid	Niger-Congo	Word Order
mbi	Mbili	1	VOX	6.117	10.200	Bantoid	Niger-Congo	Word Order
non	Noni	1	VOX	6.417	10.583	Bantoid	Niger-Congo	Word Order
lin	Lingala	1	VOX	2.000	18.500	Bantoid	Niger-Congo	Word Order
nko	Nkore-Kiga	1	VOX	-0.917	29.833	Bantoid	Niger-Congo	Word Order
kin	Kinyarwanda	1	VOX	-2.000	30.000	Bantoid	Niger-Congo	Word Order
luv	Luvale	1	VOX	-12.000	22.000	Bantoid	Niger-Congo	Word Order
mwe	Mwera	1	VOX	-9.000	39.000	Bantoid	Niger-Congo	Word Order
ses	Sesotho	1	VOX	-28.000	27.000	Bantoid	Niger-Congo	Word Order
kro	Krongo	1	VOX	10.500	30.000	Kadugli	Kadugli	Word Order
kch	Koyra Chiini	1	VOX	17.000	-3.000	Songhay	Nilo-Saharan	Word Order
mrl	Murle	1	VOX	6.500	33.500	Surmic	Nilo-Saharan	Word Order
ten	Tennet	1	VOX	4.417	32.500	Surmic	Nilo-Saharan	Word Order
maj	Majang	1	VOX	6.750	35.000	Surmic	Nilo-Saharan	Word Order
luo	Luo	1	VOX	-0.500	34.750	Nilotic	Nilo-Saharan	Word Order
lan	Lango	1	VOX	2.167	33.000	Nilotic	Nilo-Saharan	Word Order
kmj	Karimojong	1	VOX	3.000	34.167	Nilotic	Nilo-Saharan	Word Order
tna	Turkana	1	VOX	3.000	35.500	Nilotic	Nilo-Saharan	Word Order
nan	Nandi	1	VOX	0.250	35.000	Nilotic	Nilo-Saharan	Word Order
pkt	Pokot	1	VOX	1.500	35.500	Nilotic	Nilo-Saharan	Word Order
jmo	Jur Mödö	1	VOX	6.000	30.000	Bongo-Bagirmi	Nilo-Saharan	Word Order
ngm	Ngambay	1	VOX	8.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Word Order
mby	Mbay	1	VOX	8.250	17.500	Bongo-Bagirmi	Nilo-Saharan	Word Order
bag	Bagirmi	1	VOX	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Word Order
bgr	Bagiro	1	VOX	4.333	20.583	Bongo-Bagirmi	Nilo-Saharan	Word Order
yul	Yulu	1	VOX	8.500	25.250	Bongo-Bagirmi	Nilo-Saharan	Word Order
cop	Coptic	1	VOX	26.000	32.000	Egyptian-Coptic	Afro-Asiatic	Word Order
kbl	Kabyle	1	VOX	36.500	5.000	Berber	Afro-Asiatic	Word Order
brf	Berber (Rif)	1	VOX	34.500	-4.000	Berber	Afro-Asiatic	Word Order
bfg	Berber (Figuig)	1	VOX	32.500	-1.500	Berber	Afro-Asiatic	Word Order
ter	Tera	1	VOX	11.000	11.833	Biu-Mandara	Afro-Asiatic	Word Order
lmg	Lamang	1	VOX	11.250	13.583	Biu-Mandara	Afro-Asiatic	Word Order
mof	Mofu-Gudur	1	VOX	10.500	14.000	Biu-Mandara	Afro-Asiatic	Word Order
uld	Uldeme	1	VOX	10.950	14.117	Biu-Mandara	Afro-Asiatic	Word Order
gud	Gude	1	VOX	10.417	13.417	Biu-Mandara	Afro-Asiatic	Word Order
bud	Buduma	1	VOX	13.500	14.500	Biu-Mandara	Afro-Asiatic	Word Order
hau	Hausa	1	VOX	12.000	7.000	West Chadic	Afro-Asiatic	Word Order
knk	Kanakuru	1	VOX	10.000	12.000	West Chadic	Afro-Asiatic	Word Order
anc	Angas	1	VOX	9.500	9.500	West Chadic	Afro-Asiatic	Word Order
mup	Mupun	1	VOX	9.500	8.833	West Chadic	Afro-Asiatic	Word Order
ngz	Ngizim	1	VOX	12.083	10.917	West Chadic	Afro-Asiatic	Word Order
paa	Pa'a	1	VOX	11.000	9.250	West Chadic	Afro-Asiatic	Word Order
miy	Miya	1	VOX	10.917	9.667	West Chadic	Afro-Asiatic	Word Order
aeg	Arabic (Egyptian)	1	VOX	30.000	31.000	Semitic	Afro-Asiatic	Word Order
arg	Arabic (Gulf)	1	VOX	26.000	49.000	Semitic	Afro-Asiatic	Word Order
ams	Arabic (Modern Standard)	1	VOX	25.000	42.000	Semitic	Afro-Asiatic	Word Order
kas	Kashmiri	1	VOX	34.000	76.000	Indic	Indo-European	Word Order
fre	French	1	VOX	48.000	2.000	Romance	Indo-European	Word Order
spa	Spanish	1	VOX	40.000	-4.000	Romance	Indo-European	Word Order
iri	Irish	1	VOX	53.000	-8.000	Celtic	Indo-European	Word Order
gae	Gaelic (Scots)	1	VOX	57.000	-4.000	Celtic	Indo-European	Word Order
wel	Welsh	1	VOX	52.000	-3.000	Celtic	Indo-European	Word Order
dsh	Danish	1	VOX	56.000	10.000	Germanic	Indo-European	Word Order
swe	Swedish	1	VOX	60.000	15.000	Germanic	Indo-European	Word Order
eng	English	1	VOX	52.000	0.000	Germanic	Indo-European	Word Order
bul	Bulgarian	1	VOX	42.500	25.000	Slavic	Indo-European	Word Order
