Dryer, Matthew S.. 2011. Order of Genitive and Noun.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 86A.
Available online at http://wals.info/feature/86A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	Genitive-Noun	-19.000	21.000	Northern Khoisan	Khoisan	Word Order
krn	Korana	1	Genitive-Noun	-29.500	20.500	Central Khoisan	Khoisan	Word Order
kho	Khoekhoe	1	Genitive-Noun	-25.500	18.000	Central Khoisan	Khoisan	Word Order
ani	//Ani	1	Genitive-Noun	-18.917	21.917	Central Khoisan	Khoisan	Word Order
kxo	Kxoe	1	Genitive-Noun	-17.500	22.500	Central Khoisan	Khoisan	Word Order
xoo	!Xóõ	1	Genitive-Noun	-24.000	21.500	Southern Khoisan	Khoisan	Word Order
xam	/Xam	1	Genitive-Noun	-31.000	21.000	Southern Khoisan	Khoisan	Word Order
bus	Busa	1	Genitive-Noun	9.667	4.000	Eastern Mande	Niger-Congo	Word Order
man	Mano	1	Genitive-Noun	7.000	-9.000	Eastern Mande	Niger-Congo	Word Order
dan	Dan	1	Genitive-Noun	7.500	-8.000	Eastern Mande	Niger-Congo	Word Order
jel	Jeli	1	Genitive-Noun	9.500	-5.667	Western Mande	Niger-Congo	Word Order
maw	Maninka (Western)	1	Genitive-Noun	13.000	-11.000	Western Mande	Niger-Congo	Word Order
mkg	Mandinka (Gambian)	1	Genitive-Noun	13.417	-16.000	Western Mande	Niger-Congo	Word Order
bam	Bambara	1	Genitive-Noun	12.500	-7.500	Western Mande	Niger-Congo	Word Order
mka	Mauka	1	Genitive-Noun	8.333	-7.500	Western Mande	Niger-Congo	Word Order
vai	Vai	1	Genitive-Noun	6.917	-11.250	Western Mande	Niger-Congo	Word Order
sus	Susu	1	Genitive-Noun	10.000	-13.000	Western Mande	Niger-Congo	Word Order
kpe	Kpelle	1	Genitive-Noun	7.000	-10.000	Western Mande	Niger-Congo	Word Order
mde	Mende	1	Genitive-Noun	7.833	-11.500	Western Mande	Niger-Congo	Word Order
ijo	Ijo (Kolokuma)	1	Genitive-Noun	4.917	5.667	Ijoid	Niger-Congo	Word Order
sme	Seme	1	Genitive-Noun	11.000	-4.917	Kru	Niger-Congo	Word Order
kla	Klao	1	Genitive-Noun	4.750	-8.750	Kru	Niger-Congo	Word Order
grb	Grebo	1	Genitive-Noun	5.000	-8.000	Kru	Niger-Congo	Word Order
dds	Donno So	1	Genitive-Noun	14.333	-3.583	Dogon	Niger-Congo	Word Order
tou	Toussian	1	Genitive-Noun	11.000	-4.667	Gur	Niger-Congo	Word Order
sup	Supyire	1	Genitive-Noun	11.500	-5.583	Gur	Niger-Congo	Word Order
kfe	Koromfe	1	Genitive-Noun	14.250	-0.917	Gur	Niger-Congo	Word Order
moo	Mooré	1	Genitive-Noun	12.833	-1.250	Gur	Niger-Congo	Word Order
dga	Dagaare	1	Genitive-Noun	10.500	-2.667	Gur	Niger-Congo	Word Order
dgb	Dagbani	1	Genitive-Noun	9.583	-0.500	Gur	Niger-Congo	Word Order
bmb	Bimoba	1	Genitive-Noun	10.500	0.000	Gur	Niger-Congo	Word Order
kby	Kabiyé	1	Genitive-Noun	9.667	1.167	Gur	Niger-Congo	Word Order
kir	Kirma	1	Genitive-Noun	10.250	-4.833	Gur	Niger-Congo	Word Order
doy	Doyayo	1	Genitive-Noun	8.667	13.083	Adamawa	Niger-Congo	Word Order
mba	Mba	1	Genitive-Noun	1.000	25.000	Ubangi	Niger-Congo	Word Order
akn	Akan	1	Genitive-Noun	6.500	-1.250	Kwa	Niger-Congo	Word Order
ayi	Anyi	1	Genitive-Noun	7.000	-3.500	Kwa	Niger-Congo	Word Order
nkn	Nkonya	1	Genitive-Noun	7.167	0.250	Kwa	Niger-Congo	Word Order
llm	Lelemi	1	Genitive-Noun	7.333	0.500	Kwa	Niger-Congo	Word Order
ega	Ega	1	Genitive-Noun	5.500	-5.500	Kwa	Niger-Congo	Word Order
ga	Gã	1	Genitive-Noun	5.667	-0.167	Kwa	Niger-Congo	Word Order
ewe	Ewe	1	Genitive-Noun	6.333	0.417	Kwa	Niger-Congo	Word Order
adi	Adioukrou	1	Genitive-Noun	5.417	-4.583	Kwa	Niger-Congo	Word Order
gwa	Gwari	1	Genitive-Noun	9.500	7.000	Nupoid	Niger-Congo	Word Order
kse	Koyraboro Senni	1	Genitive-Noun	16.000	0.000	Songhay	Nilo-Saharan	Word Order
kch	Koyra Chiini	1	Genitive-Noun	17.000	-3.000	Songhay	Nilo-Saharan	Word Order
zar	Zarma	1	Genitive-Noun	13.833	2.167	Songhay	Nilo-Saharan	Word Order
run	Runga	1	Genitive-Noun	10.333	21.000	Maban	Nilo-Saharan	Word Order
fur	Fur	1	Genitive-Noun	13.500	25.000	Fur	Nilo-Saharan	Word Order
nar	Nara (in Ethiopia)	1	Genitive-Noun	15.083	37.583	Nara	Nilo-Saharan	Word Order
nyi	Nyimang	1	Genitive-Noun	12.167	29.333	Nyimang	Nilo-Saharan	Word Order
tma	Tama	1	Genitive-Noun	14.500	22.000	Taman	Nilo-Saharan	Word Order
mii	Miisiirii	1	Genitive-Noun	13.500	22.000	Taman	Nilo-Saharan	Word Order
sug	Sungor	1	Genitive-Noun	13.750	21.500	Taman	Nilo-Saharan	Word Order
lug	Lugbara	1	Genitive-Noun	3.083	30.917	Moru-Ma'di	Nilo-Saharan	Word Order
ldu	Lendu	1	Genitive-Noun	2.000	30.500	Lendu	Nilo-Saharan	Word Order
nti	Ngiti	1	Genitive-Noun	1.333	30.250	Lendu	Nilo-Saharan	Word Order
knm	Kunama	1	Genitive-Noun	14.500	37.000	Kunama	Nilo-Saharan	Word Order
aar	Aari	1	Genitive-Noun	6.000	36.583	South Omotic	Afro-Asiatic	Word Order
wly	Wolaytta	1	Genitive-Noun	6.833	37.750	North Omotic	Afro-Asiatic	Word Order
zay	Zayse	1	Genitive-Noun	5.917	37.333	North Omotic	Afro-Asiatic	Word Order
bej	Beja	1	Genitive-Noun	18.000	36.000	Beja	Afro-Asiatic	Word Order
kem	Kemant	1	Genitive-Noun	12.667	37.417	Central Cushitic	Afro-Asiatic	Word Order
bln	Bilin	1	Genitive-Noun	15.750	38.500	Central Cushitic	Afro-Asiatic	Word Order
qaf	Qafar	1	Genitive-Noun	12.000	42.000	Eastern Cushitic	Afro-Asiatic	Word Order
dha	Dhaasanac	1	Genitive-Noun	4.667	36.333	Eastern Cushitic	Afro-Asiatic	Word Order
amh	Amharic	1	Genitive-Noun	10.000	38.000	Semitic	Afro-Asiatic	Word Order
sod	Soddo	1	Genitive-Noun	8.500	38.500	Semitic	Afro-Asiatic	Word Order
chh	Chaha	1	Genitive-Noun	8.113	37.933	Semitic	Afro-Asiatic	Word Order
bsq	Basque	1	Genitive-Noun	43.000	-3.000	Basque	Basque	Word Order
arm	Armenian (Eastern)	1	Genitive-Noun	40.000	45.000	Armenian	Indo-European	Word Order
arw	Armenian (Western)	1	Genitive-Noun	38.500	43.500	Armenian	Indo-European	Word Order
dom	Domari	1	Genitive-Noun	32.000	35.000	Indic	Indo-European	Word Order
rwe	Romani (Welsh)	1	Genitive-Noun	52.000	-4.000	Indic	Indo-European	Word Order
dhi	Dhivehi	1	Genitive-Noun	4.167	73.500	Indic	Indo-European	Word Order
khw	Khowar	1	Genitive-Noun	36.000	72.000	Indic	Indo-European	Word Order
bkt	Brokskat	1	Genitive-Noun	35.333	76.500	Indic	Indo-European	Word Order
sna	Shina	1	Genitive-Noun	36.000	74.000	Indic	Indo-European	Word Order
kas	Kashmiri	1	Genitive-Noun	34.000	76.000	Indic	Indo-European	Word Order
sav	Savi	1	Genitive-Noun	35.000	71.500	Indic	Indo-European	Word Order
mhi	Marathi	1	Genitive-Noun	19.000	76.000	Indic	Indo-European	Word Order
hin	Hindi	1	Genitive-Noun	25.000	77.000	Indic	Indo-European	Word Order
urd	Urdu	1	Genitive-Noun	25.000	67.000	Indic	Indo-European	Word Order
lmn	Lamani	1	Genitive-Noun	17.000	77.000	Indic	Indo-European	Word Order
pan	Panjabi	1	Genitive-Noun	31.000	74.000	Indic	Indo-European	Word Order
kum	Kumauni	1	Genitive-Noun	30.000	80.000	Indic	Indo-European	Word Order
nep	Nepali	1	Genitive-Noun	28.000	85.000	Indic	Indo-European	Word Order
bho	Bhojpuri	1	Genitive-Noun	26.000	84.000	Indic	Indo-European	Word Order
oss	Ossetic	1	Genitive-Noun	43.000	44.000	Iranian	Indo-European	Word Order
wak	Wakhi	1	Genitive-Noun	36.500	72.000	Iranian	Indo-European	Word Order
psh	Pashto	1	Genitive-Noun	33.000	67.000	Iranian	Indo-European	Word Order
klr	Koluri	1	Genitive-Noun	37.000	48.000	Iranian	Indo-European	Word Order
kbt	Kabatei	1	Genitive-Noun	36.750	49.417	Iranian	Indo-European	Word Order
tls	Talysh (Southern)	1	Genitive-Noun	37.000	49.000	Iranian	Indo-European	Word Order
tts	Tati (Southern)	1	Genitive-Noun	36.000	49.667	Iranian	Indo-European	Word Order
dsh	Danish	1	Genitive-Noun	56.000	10.000	Germanic	Indo-European	Word Order
swe	Swedish	1	Genitive-Noun	60.000	15.000	Germanic	Indo-European	Word Order
lat	Latvian	1	Genitive-Noun	57.000	24.000	Baltic	Indo-European	Word Order
lit	Lithuanian	1	Genitive-Noun	55.000	24.000	Baltic	Indo-European	Word Order
kms	Kamass	1	Genitive-Noun	52.000	92.000	Samoyedic	Uralic	Word Order
skp	Selkup	1	Genitive-Noun	65.000	82.000	Samoyedic	Uralic	Word Order
hun	Hungarian	1	Genitive-Noun	47.000	20.000	Ugric	Uralic	Word Order
mns	Mansi	1	Genitive-Noun	62.000	62.000	Ugric	Uralic	Word Order
udm	Udmurt	1	Genitive-Noun	57.500	52.500	Permic	Uralic	Word Order
kzy	Komi-Zyrian	1	Genitive-Noun	65.000	55.000	Permic	Uralic	Word Order
kop	Komi-Permyak	1	Genitive-Noun	59.500	54.500	Permic	Uralic	Word Order
mme	Mari (Meadow)	1	Genitive-Noun	57.000	48.000	Mari	Uralic	Word Order
sno	Saami (Northern)	1	Genitive-Noun	69.000	24.000	Saami	Uralic	Word Order
fin	Finnish	1	Genitive-Noun	62.000	25.000	Finnic	Uralic	Word Order
est	Estonian	1	Genitive-Noun	59.000	26.000	Finnic	Uralic	Word Order
ytu	Yukaghir (Tundra)	1	Genitive-Noun	69.000	155.000	Yukaghir	Yukaghir	Word Order
yko	Yukaghir (Kolyma)	1	Genitive-Noun	65.750	150.833	Yukaghir	Yukaghir	Word Order
dgr	Dagur	1	Genitive-Noun	48.000	124.000	Mongolic	Altaic	Word Order
kmk	Kalmyk	1	Genitive-Noun	44.000	83.000	Mongolic	Altaic	Word Order
but	Buriat	1	Genitive-Noun	52.000	108.000	Mongolic	Altaic	Word Order
kha	Khalkha	1	Genitive-Noun	47.000	105.000	Mongolic	Altaic	Word Order
eve	Evenki	1	Genitive-Noun	56.000	125.000	Tungusic	Altaic	Word Order
ork	Orok	1	Genitive-Noun	49.500	143.500	Tungusic	Altaic	Word Order
udh	Udihe	1	Genitive-Noun	47.667	136.250	Tungusic	Altaic	Word Order
chv	Chuvash	1	Genitive-Noun	55.500	47.500	Turkic	Altaic	Word Order
khl	Khalaj	1	Genitive-Noun	35.000	50.000	Turkic	Altaic	Word Order
aze	Azerbaijani	1	Genitive-Noun	40.500	48.500	Turkic	Altaic	Word Order
tur	Turkish	1	Genitive-Noun	39.000	35.000	Turkic	Altaic	Word Order
tkm	Turkmen	1	Genitive-Noun	40.000	58.000	Turkic	Altaic	Word Order
uzb	Uzbek	1	Genitive-Noun	39.000	66.000	Turkic	Altaic	Word Order
bsk	Bashkir	1	Genitive-Noun	53.000	58.000	Turkic	Altaic	Word Order
tvo	Tatar	1	Genitive-Noun	56.000	49.500	Turkic	Altaic	Word Order
kkp	Karakalpak	1	Genitive-Noun	43.000	60.000	Turkic	Altaic	Word Order
ykt	Yakut	1	Genitive-Noun	62.000	130.000	Turkic	Altaic	Word Order
tuv	Tuvan	1	Genitive-Noun	52.000	95.000	Turkic	Altaic	Word Order
kor	Korean	1	Genitive-Noun	37.500	128.000	Korean	Korean	Word Order
ain	Ainu	1	Genitive-Noun	43.000	143.000	Ainu	Ainu	Word Order
jpn	Japanese	1	Genitive-Noun	37.000	140.000	Japanese	Japanese	Word Order
chk	Chukchi	1	Genitive-Noun	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Word Order
kry	Koryak	1	Genitive-Noun	61.000	167.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Word Order
niv	Nivkh	1	Genitive-Noun	53.333	142.000	Nivkh	Nivkh	Word Order
ket	Ket	1	Genitive-Noun	64.000	87.000	Yeniseian	Yeniseian	Word Order
geo	Georgian	1	Genitive-Noun	42.000	44.000	Kartvelian	Kartvelian	Word Order
uby	Ubykh	1	Genitive-Noun	43.667	39.667	Northwest Caucasian	Northwest Caucasian	Word Order
abk	Abkhaz	1	Genitive-Noun	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Word Order
kab	Kabardian	1	Genitive-Noun	43.500	43.500	Northwest Caucasian	Northwest Caucasian	Word Order
ttu	Tsova-Tush	1	Genitive-Noun	42.500	45.500	Nakh	Nakh-Daghestanian	Word Order
chc	Chechen	1	Genitive-Noun	43.250	45.833	Nakh	Nakh-Daghestanian	Word Order
