Dryer, Matthew S.. 2011. Order of Demonstrative and Noun.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 88A.
Available online at http://wals.info/feature/88A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
sdw	Sandawe	1	Demonstrative-Noun	-5.000	35.000	Sandawe	Khoisan	Word Order
krn	Korana	1	Demonstrative-Noun	-29.500	20.500	Central Khoisan	Khoisan	Word Order
kho	Khoekhoe	1	Demonstrative-Noun	-25.500	18.000	Central Khoisan	Khoisan	Word Order
ani	//Ani	1	Demonstrative-Noun	-18.917	21.917	Central Khoisan	Khoisan	Word Order
kxo	Kxoe	1	Demonstrative-Noun	-17.500	22.500	Central Khoisan	Khoisan	Word Order
xam	/Xam	1	Demonstrative-Noun	-31.000	21.000	Southern Khoisan	Khoisan	Word Order
mkg	Mandinka (Gambian)	1	Demonstrative-Noun	13.417	-16.000	Western Mande	Niger-Congo	Word Order
sus	Susu	1	Demonstrative-Noun	10.000	-13.000	Western Mande	Niger-Congo	Word Order
ijo	Ijo (Kolokuma)	1	Demonstrative-Noun	4.917	5.667	Ijoid	Niger-Congo	Word Order
sme	Seme	1	Demonstrative-Noun	11.000	-4.917	Kru	Niger-Congo	Word Order
sup	Supyire	1	Demonstrative-Noun	11.500	-5.583	Gur	Niger-Congo	Word Order
ga	Gã	1	Demonstrative-Noun	5.667	-0.167	Kwa	Niger-Congo	Word Order
duk	Duka	1	Demonstrative-Noun	11.167	5.083	Kainji	Niger-Congo	Word Order
bku	Bakueri	1	Demonstrative-Noun	4.250	9.250	Bantoid	Niger-Congo	Word Order
dua	Duala	1	Demonstrative-Noun	4.000	9.417	Bantoid	Niger-Congo	Word Order
bub	Bubi	1	Demonstrative-Noun	3.500	8.667	Bantoid	Niger-Congo	Word Order
tnn	Tunen	1	Demonstrative-Noun	4.750	10.667	Bantoid	Niger-Congo	Word Order
shm	Shambala	1	Demonstrative-Noun	-4.250	38.250	Bantoid	Niger-Congo	Word Order
pre	Pare	1	Demonstrative-Noun	-4.000	36.500	Bantoid	Niger-Congo	Word Order
kin	Kinyarwanda	1	Demonstrative-Noun	-2.000	30.000	Bantoid	Niger-Congo	Word Order
swt	Swati	1	Demonstrative-Noun	-26.500	31.000	Bantoid	Niger-Congo	Word Order
fur	Fur	1	Demonstrative-Noun	13.500	25.000	Fur	Nilo-Saharan	Word Order
bar	Bari	1	Demonstrative-Noun	5.000	31.667	Nilotic	Nilo-Saharan	Word Order
maa	Maasai	1	Demonstrative-Noun	-3.000	36.000	Nilotic	Nilo-Saharan	Word Order
