Dryer, Matthew S.. 2011. Order of Numeral and Noun.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 89A.
Available online at http://wals.info/feature/89A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
krn	Korana	1	Numeral-Noun	-29.500	20.500	Central Khoisan	Khoisan	Word Order
kho	Khoekhoe	1	Numeral-Noun	-25.500	18.000	Central Khoisan	Khoisan	Word Order
ani	//Ani	1	Numeral-Noun	-18.917	21.917	Central Khoisan	Khoisan	Word Order
kxo	Kxoe	1	Numeral-Noun	-17.500	22.500	Central Khoisan	Khoisan	Word Order
wlf	Wolof	1	Numeral-Noun	15.250	-16.000	Northern Atlantic	Niger-Congo	Word Order
ijo	Ijo (Kolokuma)	1	Numeral-Noun	4.917	5.667	Ijoid	Niger-Congo	Word Order
kan	Kana	1	Numeral-Noun	4.750	7.417	Cross River	Niger-Congo	Word Order
gok	Gokana	1	Numeral-Noun	4.583	7.333	Cross River	Niger-Congo	Word Order
kre	Kresh	1	Numeral-Noun	8.500	24.500	Kresh	Nilo-Saharan	Word Order
ldu	Lendu	1	Numeral-Noun	2.000	30.500	Lendu	Nilo-Saharan	Word Order
nti	Ngiti	1	Numeral-Noun	1.333	30.250	Lendu	Nilo-Saharan	Word Order
shb	Shabo	1	Numeral-Noun	7.583	35.417	Shabo	Nilo-Saharan	Word Order
cop	Coptic	1	Numeral-Noun	26.000	32.000	Egyptian-Coptic	Afro-Asiatic	Word Order
tgh	Tuareg (Ghat)	1	Numeral-Noun	25.000	10.167	Berber	Afro-Asiatic	Word Order
brf	Berber (Rif)	1	Numeral-Noun	34.500	-4.000	Berber	Afro-Asiatic	Word Order
bfg	Berber (Figuig)	1	Numeral-Noun	32.500	-1.500	Berber	Afro-Asiatic	Word Order
bch	Berber (Chaouia)	1	Numeral-Noun	35.000	7.000	Berber	Afro-Asiatic	Word Order
zen	Zenaga	1	Numeral-Noun	17.333	-16.000	Berber	Afro-Asiatic	Word Order
wly	Wolaytta	1	Numeral-Noun	6.833	37.750	North Omotic	Afro-Asiatic	Word Order
zay	Zayse	1	Numeral-Noun	5.917	37.333	North Omotic	Afro-Asiatic	Word Order
bln	Bilin	1	Numeral-Noun	15.750	38.500	Central Cushitic	Afro-Asiatic	Word Order
qaf	Qafar	1	Numeral-Noun	12.000	42.000	Eastern Cushitic	Afro-Asiatic	Word Order
som	Somali	1	Numeral-Noun	3.000	45.000	Eastern Cushitic	Afro-Asiatic	Word Order
cld	Chaldean (Modern)	1	Numeral-Noun	36.000	43.000	Semitic	Afro-Asiatic	Word Order
naj	Neo-Aramaic (Arbel Jewish)	1	Numeral-Noun	31.750	35.000	Semitic	Afro-Asiatic	Word Order
heb	Hebrew (Modern)	1	Numeral-Noun	31.500	34.833	Semitic	Afro-Asiatic	Word Order
arg	Arabic (Gulf)	1	Numeral-Noun	26.000	49.000	Semitic	Afro-Asiatic	Word Order
arq	Arabic (Iraqi)	1	Numeral-Noun	33.000	44.000	Semitic	Afro-Asiatic	Word Order
ams	Arabic (Modern Standard)	1	Numeral-Noun	25.000	42.000	Semitic	Afro-Asiatic	Word Order
amr	Arabic (Moroccan)	1	Numeral-Noun	34.000	-6.000	Semitic	Afro-Asiatic	Word Order
tgr	Tigré	1	Numeral-Noun	16.500	38.500	Semitic	Afro-Asiatic	Word Order
amh	Amharic	1	Numeral-Noun	10.000	38.000	Semitic	Afro-Asiatic	Word Order
