Maddieson, Ian. 2011. Lateral Consonants.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 8A.
Available online at http://wals.info/feature/8A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
ani	//Ani	1	No laterals	-18.917	21.917	Central Khoisan	Khoisan	Phonology
aco	Acoma	1	No laterals	34.917	-107.583	Keresan	Keresan	Phonology
adz	Adzera	1	No laterals	-6.250	146.250	Oceanic	Austronesian	Phonology
ain	Ainu	1	No laterals	43.000	143.000	Ainu	Ainu	Phonology
akn	Akan	1	No laterals	6.500	-1.250	Kwa	Niger-Congo	Phonology
akw	Akawaio	1	No laterals	6.000	-59.500	Cariban	Cariban	Phonology
ala	Alamblak	1	No laterals	-4.667	143.333	Sepik Hill	Sepik	Phonology
amc	Amahuaca	1	No laterals	-10.500	-72.500	Panoan	Panoan	Phonology
adk	Andoke	1	No laterals	-0.667	-72.000	Andoke	Andoke	Phonology
api	Apinayé	1	No laterals	-5.500	-48.000	Ge-Kaingang	Macro-Ge	Phonology
apu	Apurinã	1	No laterals	-9.000	-67.000	Arawakan	Arawakan	Phonology
arb	Arabela	1	No laterals	-2.000	-75.167	Zaparoan	Zaparoan	Phonology
asm	Asmat	1	No laterals	-5.500	138.500	Asmat-Kamoro	Trans-New Guinea	Phonology
bno	Barasano (Northern)	1	No laterals	0.333	-70.250	Tucanoan	Tucanoan	Phonology
brr	Bororo	1	No laterals	-16.000	-57.000	Bororo	Macro-Ge	Phonology
bri	Bribri	1	No laterals	9.417	-83.000	Talamanca	Chibchan	Phonology
cad	Caddo	1	No laterals	33.333	-93.500	Caddoan	Caddoan	Phonology
cax	Campa (Axininca)	1	No laterals	-12.000	-74.000	Arawakan	Arawakan	Phonology
car	Carib	1	No laterals	5.500	-56.000	Cariban	Cariban	Phonology
cyv	Cayuvava	1	No laterals	-13.500	-65.500	Cayuvava	Cayuvava	Phonology
cve	Chuave	1	No laterals	-6.117	145.117	Chimbu	Trans-New Guinea	Phonology
cof	Cofán	1	No laterals	0.167	-77.167	Cofán	Cofán	Phonology
cmn	Comanche	1	No laterals	33.500	-101.500	Numic	Uto-Aztecan	Phonology
cre	Cree (Plains)	1	No laterals	54.000	-110.000	Algonquian	Algic	Phonology
cub	Cubeo	1	No laterals	1.333	-70.500	Tucanoan	Tucanoan	Phonology
dad	Dadibi	1	No laterals	-6.550	144.583	Teberan	Teberan-Pawaian	Phonology
dag	Daga	1	No laterals	-10.000	149.333	Dagan	Dagan	Phonology
der	Dla (Proper)	1	No laterals	-3.583	141.000	Senagi	Senagi	Phonology
det	Deti	1	No laterals	-20.500	24.500	Central Khoisan	Khoisan	Phonology
efi	Efik	1	No laterals	4.917	8.500	Cross River	Niger-Congo	Phonology
eja	Ejagham	1	No laterals	5.417	8.667	Bantoid	Niger-Congo	Phonology
epe	Epena Pedee	1	No laterals	3.000	-77.000	Choco	Choco	Phonology
