Dryer, Matthew S.. 2011. Prenominal relative clauses.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 90B.
Available online at http://wals.info/feature/90B
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
chh	Chaha	1	Relative clause-Noun (RelN) dominant	8.113	37.933	Semitic	Afro-Asiatic	Word Order
gur	Gurung	1	Relative clause-Noun (RelN) dominant	28.333	84.333	Bodic	Sino-Tibetan	Word Order
hay	Hayu	1	Relative clause-Noun (RelN) dominant	27.250	86.000	Bodic	Sino-Tibetan	Word Order
raw	Rawang	1	Relative clause-Noun (RelN) dominant	27.500	97.500	Nungish	Sino-Tibetan	Word Order
amb	Ambulas	1	Relative clause-Noun (RelN) dominant	-3.833	143.000	Middle Sepik	Sepik	Word Order
yal	Yale (Kosarek)	1	Relative clause-Noun (RelN) dominant	-4.083	139.500	Mek	Trans-New Guinea	Word Order
ami	Amis	1	Relative clause-Noun (RelN) dominant	23.333	121.333	Paiwanic	Austronesian	Word Order
yko	Yukaghir (Kolyma)	1	Relative clause-Noun (RelN) dominant	65.750	150.833	Yukaghir	Yukaghir	Word Order
acn	Achang	1	Relative clause-Noun (RelN) dominant	25.000	98.500	Burmese-Lolo	Sino-Tibetan	Word Order
cpy	Chipaya	1	Relative clause-Noun (RelN) dominant	-18.750	-67.833	Uru-Chipaya	Uru-Chipaya	Word Order
blt	Balti	1	Relative clause-Noun (RelN) dominant	35.000	76.000	Bodic	Sino-Tibetan	Word Order
nmm	Manange	1	Relative clause-Noun (RelN) dominant	28.583	84.000	Bodic	Sino-Tibetan	Word Order
kha	Khalkha	1	Relative clause-Noun (RelN) dominant	47.000	105.000	Mongolic	Altaic	Word Order
dhm	Dhimal	1	Relative clause-Noun (RelN) dominant	26.667	87.750	Bodic	Sino-Tibetan	Word Order
mnd	Mandarin	1	Relative clause-Noun (RelN) dominant	34.000	110.000	Chinese	Sino-Tibetan	Word Order
rum	Rumu	1	Relative clause-Noun (RelN) dominant	-7.167	144.250	Turama-Kikorian	Turama-Kikorian	Word Order
tel	Telugu	1	Relative clause-Noun (RelN) dominant	16.000	79.000	South-Central Dravidian	Dravidian	Word Order
mru	Maru	1	Relative clause-Noun (RelN) dominant	23.500	98.500	Burmese-Lolo	Sino-Tibetan	Word Order
bel	Belhare	1	Relative clause-Noun (RelN) dominant	26.967	87.300	Bodic	Sino-Tibetan	Word Order
kku	Korku	1	Relative clause-Noun (RelN) dominant	22.500	78.500	Munda	Austro-Asiatic	Word Order
nph	Nar-Phu	1	Relative clause-Noun (RelN) dominant	28.667	84.250	Bodic	Sino-Tibetan	Word Order
lmn	Lamani	1	Relative clause-Noun (RelN) dominant	17.000	77.000	Indic	Indo-European	Word Order
lez	Lezgian	1	Relative clause-Noun (RelN) dominant	41.667	47.833	Lezgic	Nakh-Daghestanian	Word Order
ing	Ingush	1	Relative clause-Noun (RelN) dominant	43.167	45.083	Nakh	Nakh-Daghestanian	Word Order
apt	Apatani	1	Relative clause-Noun (RelN) dominant	27.500	93.750	Tani	Sino-Tibetan	Word Order
hpd	Hup	1	Relative clause-Noun (RelN) dominant	0.167	-69.250	Nadahup	Nadahup	Word Order
bai	Bai	1	Relative clause-Noun (RelN) dominant	26.000	100.000	Bai	Sino-Tibetan	Word Order
dhi	Dhivehi	1	Relative clause-Noun (RelN) dominant	4.167	73.500	Indic	Indo-European	Word Order
ttu	Tsova-Tush	1	Relative clause-Noun (RelN) dominant	42.500	45.500	Nakh	Nakh-Daghestanian	Word Order
nma	Naga (Mao)	1	Relative clause-Noun (RelN) dominant	25.500	94.333	Kuki-Chin	Sino-Tibetan	Word Order
mns	Mansi	1	Relative clause-Noun (RelN) dominant	62.000	62.000	Ugric	Uralic	Word Order
drg	Dargwa	1	Relative clause-Noun (RelN) dominant	42.250	47.417	Lak-Dargwa	Nakh-Daghestanian	Word Order
