Dryer, Matthew S.. 2011. Postnominal relative clauses.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 90C.
Available online at http://wals.info/feature/90C
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
obo	Obolo	1	Noun-Relative clause (NRel) dominant	4.583	7.833	Cross River	Niger-Congo	Word Order
skr	Sikaritai	1	Noun-Relative clause (NRel) dominant	-2.917	138.250	Lakes Plain	Lakes Plain	Word Order
fur	Fur	1	Noun-Relative clause (NRel) dominant	13.500	25.000	Fur	Nilo-Saharan	Word Order
mno	Mono (in United States)	1	Noun-Relative clause (NRel) dominant	38.000	-119.000	Numic	Uto-Aztecan	Word Order
tep	Tepehua (Tlachichilco)	1	Noun-Relative clause (NRel) dominant	20.583	-98.250	Totonacan	Totonacan	Word Order
olo	Olo	1	Noun-Relative clause (NRel) dominant	-3.417	142.000	Wapei-Palei	Torricelli	Word Order
ptt	Pattani	1	Noun-Relative clause (NRel) dominant	32.750	76.750	Bodic	Sino-Tibetan	Word Order
gap	Gapapaiwa	1	Noun-Relative clause (NRel) dominant	-9.750	149.833	Oceanic	Austronesian	Word Order
htc	Huastec	1	Noun-Relative clause (NRel) dominant	22.083	-99.333	Mayan	Mayan	Word Order
arg	Arabic (Gulf)	1	Noun-Relative clause (NRel) dominant	26.000	49.000	Semitic	Afro-Asiatic	Word Order
bbl	Babole	1	Noun-Relative clause (NRel) dominant	1.083	17.250	Bantoid	Niger-Congo	Word Order
bbu	Barambu	1	Noun-Relative clause (NRel) dominant	3.500	27.000	Ubangi	Niger-Congo	Word Order
miy	Miya	1	Noun-Relative clause (NRel) dominant	10.917	9.667	West Chadic	Afro-Asiatic	Word Order
sed	Sedang	1	Noun-Relative clause (NRel) dominant	14.833	108.000	Bahnaric	Austro-Asiatic	Word Order
obg	Ogbronuagum	1	Noun-Relative clause (NRel) dominant	4.750	6.867	Cross River	Niger-Congo	Word Order
ace	Acehnese	1	Noun-Relative clause (NRel) dominant	5.500	95.500	Malayic	Austronesian	Word Order
gel	Gela	1	Noun-Relative clause (NRel) dominant	-9.083	160.250	Oceanic	Austronesian	Word Order
tna	Turkana	1	Noun-Relative clause (NRel) dominant	3.000	35.500	Nilotic	Nilo-Saharan	Word Order
swe	Swedish	1	Noun-Relative clause (NRel) dominant	60.000	15.000	Germanic	Indo-European	Word Order
gud	Gude	1	Noun-Relative clause (NRel) dominant	10.417	13.417	Biu-Mandara	Afro-Asiatic	Word Order
mxc	Mixtec (Chalcatongo)	1	Noun-Relative clause (NRel) dominant	17.050	-97.583	Mixtecan	Oto-Manguean	Word Order
mpu	Mpur	1	Noun-Relative clause (NRel) dominant	-0.750	133.250	Kebar	West Papuan	Word Order
ewo	Ewondo	1	Noun-Relative clause (NRel) dominant	4.000	12.000	Bantoid	Niger-Congo	Word Order
lew	Lewo	1	Noun-Relative clause (NRel) dominant	-16.750	168.333	Oceanic	Austronesian	Word Order
ang	Anggor	1	Noun-Relative clause (NRel) dominant	-3.750	141.167	Senagi	Senagi	Word Order
ron	Ron	1	Noun-Relative clause (NRel) dominant	9.000	8.750	West Chadic	Afro-Asiatic	Word Order
ten	Tennet	1	Noun-Relative clause (NRel) dominant	4.417	32.500	Surmic	Nilo-Saharan	Word Order
bfi	Bafia	1	Noun-Relative clause (NRel) dominant	5.000	11.167	Bantoid	Niger-Congo	Word Order
did	Didinga	1	Noun-Relative clause (NRel) dominant	4.500	33.500	Surmic	Nilo-Saharan	Word Order
mok	Mokilese	1	Noun-Relative clause (NRel) dominant	6.667	159.750	Oceanic	Austronesian	Word Order
kbl	Kabyle	1	Noun-Relative clause (NRel) dominant	36.500	5.000	Berber	Afro-Asiatic	Word Order
tno	Tondano	1	Noun-Relative clause (NRel) dominant	1.250	125.000	Sulawesi	Austronesian	Word Order
huc	=|Hoan	1	Noun-Relative clause (NRel) dominant	-25.500	25.000	=|Hoan	Khoisan	Word Order
txj	Totonac (Xicotepec de Juárez)	1	Noun-Relative clause (NRel) dominant	20.417	-97.833	Totonacan	Totonacan	Word Order
nht	Nahuatl (Tetelcingo)	1	Noun-Relative clause (NRel) dominant	19.667	-99.000	Aztecan	Uto-Aztecan	Word Order
gwa	Gwari	1	Noun-Relative clause (NRel) dominant	9.500	7.000	Nupoid	Niger-Congo	Word Order
teo	Teop	1	Noun-Relative clause (NRel) dominant	-5.667	155.000	Oceanic	Austronesian	Word Order
sht	Shatt	1	Noun-Relative clause (NRel) dominant	10.833	30.000	Daju	Nilo-Saharan	Word Order
nun	Nung (in Vietnam)	1	Noun-Relative clause (NRel) dominant	21.917	106.417	Kam-Tai	Tai-Kadai	Word Order
pal	Palauan	1	Noun-Relative clause (NRel) dominant	7.500	134.583	Palauan	Austronesian	Word Order
mea	Meyah	1	Noun-Relative clause (NRel) dominant	-1.167	133.500	East Bird's Head	East Bird's Head	Word Order
bud	Buduma	1	Noun-Relative clause (NRel) dominant	13.500	14.500	Biu-Mandara	Afro-Asiatic	Word Order
amo	Amo	1	Noun-Relative clause (NRel) dominant	10.333	8.667	Kainji	Niger-Congo	Word Order
fye	Fyem	1	Noun-Relative clause (NRel) dominant	9.583	9.333	Platoid	Niger-Congo	Word Order
bsr	Basari	1	Noun-Relative clause (NRel) dominant	12.667	-13.000	Northern Atlantic	Niger-Congo	Word Order
vie	Vietnamese	1	Noun-Relative clause (NRel) dominant	10.500	106.500	Viet-Muong	Austro-Asiatic	Word Order
hui	Huichol	1	Noun-Relative clause (NRel) dominant	22.000	-104.000	Corachol	Uto-Aztecan	Word Order
kis	Kisi	1	Noun-Relative clause (NRel) dominant	8.833	-10.167	Southern Atlantic	Niger-Congo	Word Order
luo	Luo	1	Noun-Relative clause (NRel) dominant	-0.500	34.750	Nilotic	Nilo-Saharan	Word Order
kwz	Kwazá	1	Noun-Relative clause (NRel) dominant	-12.583	-60.667	Kwaza	Kwaza	Word Order
err	Erromangan	1	Noun-Relative clause (NRel) dominant	-18.833	169.167	Oceanic	Austronesian	Word Order
hal	Halia	1	Noun-Relative clause (NRel) dominant	-5.250	154.667	Oceanic	Austronesian	Word Order
spa	Spanish	1	Noun-Relative clause (NRel) dominant	40.000	-4.000	Romance	Indo-European	Word Order
ind	Indonesian	1	Noun-Relative clause (NRel) dominant	0.000	106.000	Malayic	Austronesian	Word Order
msk	Masakin	1	Noun-Relative clause (NRel) dominant	10.667	30.000	Talodi Proper	Niger-Congo	Word Order
tsi	Tsimshian (Coast)	1	Noun-Relative clause (NRel) dominant	52.500	-129.000	Tsimshianic	Penutian	Word Order
krd	Kurdish (Central)	1	Noun-Relative clause (NRel) dominant	36.000	44.000	Iranian	Indo-European	Word Order
agm	Angami	1	Noun-Relative clause (NRel) dominant	25.667	94.500	Kuki-Chin	Sino-Tibetan	Word Order
shb	Shabo	1	Noun-Relative clause (NRel) dominant	7.583	35.417	Shabo	Nilo-Saharan	Word Order
len	Lenakel	1	Noun-Relative clause (NRel) dominant	-19.450	169.250	Oceanic	Austronesian	Word Order
