Dryer, Matthew S.. 2011. Internally-headed relative clauses.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 90D.
Available online at http://wals.info/feature/90D
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
yuw	Yuwaalaraay	1	Internally-headed relative clause dominant	-29.500	148.000	Pama-Nyungan	Australian	Word Order
epe	Epena Pedee	1	Internally-headed relative clause dominant	3.000	-77.000	Choco	Choco	Word Order
die	Diegueño (Mesa Grande)	1	Internally-headed relative clause dominant	32.667	-116.167	Yuman	Hokan	Word Order
cmr	Chin (Mara)	1	Internally-headed relative clause dominant	23.000	93.167	Kuki-Chin	Sino-Tibetan	Word Order
kut	Kutenai	1	Internally-headed relative clause dominant	49.500	-116.000	Kutenai	Kutenai	Word Order
mpt	Mian	1	Internally-headed relative clause dominant	-4.750	141.500	Ok	Trans-New Guinea	Word Order
hai	Haida	1	Internally-headed relative clause dominant	53.000	-132.000	Haida	Haida	Word Order
tou	Toussian	1	Internally-headed relative clause dominant	11.000	-4.667	Gur	Niger-Congo	Word Order
nav	Navajo	1	Internally-headed relative clause dominant	36.167	-108.000	Athapaskan	Na-Dene	Word Order
lkt	Lakhota	1	Internally-headed relative clause dominant	43.833	-101.833	Siouan	Siouan	Word Order
tja	Tiipay (Jamul)	1	Internally-headed relative clause dominant	32.167	-116.500	Yuman	Hokan	Word Order
wap	Wappo	1	Internally-headed relative clause dominant	38.500	-122.500	Wappo	Wappo-Yukian	Word Order
ret	Retuarã	1	Internally-headed relative clause dominant	-0.500	-70.667	Tucanoan	Tucanoan	Word Order
ond	Oneida	1	Internally-headed relative clause dominant	43.000	-75.667	Northern Iroquoian	Iroquoian	Word Order
kio	Kiowa	1	Internally-headed relative clause dominant	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Word Order
dds	Donno So	1	Internally-headed relative clause dominant	14.333	-3.583	Dogon	Niger-Congo	Word Order
chi	Chimariko	1	Internally-headed relative clause dominant	41.000	-123.000	Chimariko	Hokan	Word Order
osa	Osage	1	Internally-headed relative clause dominant	37.000	-94.000	Siouan	Siouan	Word Order
lav	Lavukaleve	1	Internally-headed relative clause dominant	-9.083	159.200	Lavukaleve	Solomons East Papuan	Word Order
ika	Ika	1	Internally-headed relative clause dominant	10.667	-73.750	Aruak	Chibchan	Word Order
ser	Seri	1	Internally-headed relative clause dominant	29.000	-112.000	Seri	Hokan	Word Order
cct	Choctaw	1	Internally-headed relative clause dominant	32.250	-88.500	Muskogean	Muskogean	Word Order
msn	Maisin	1	Internally-headed relative clause dominant	-9.500	149.167	Oceanic	Austronesian	Word Order
rgc	rGyalrong (Caodeng)	1	Internally-headed relative clause dominant	31.667	101.750	rGyalrong	Sino-Tibetan	Word Order
pan	Panjabi	2	Internally-headed or RelN	31.000	74.000	Indic	Indo-European	Word Order
har	Haruai	2	Internally-headed or RelN	-5.083	144.167	Upper Yuat	Upper Yuat	Word Order
shg	Shigatse	2	Internally-headed or RelN	29.000	89.000	Bodic	Sino-Tibetan	Word Order
ao	Ao	2	Internally-headed or RelN	26.583	94.667	Kuki-Chin	Sino-Tibetan	Word Order
dlm	Dla (Menggwa)	2	Internally-headed or RelN	-3.550	141.033	Senagi	Senagi	Word Order
bya	Byansi	2	Internally-headed or RelN	30.167	80.500	Bodic	Sino-Tibetan	Word Order
baw	Bawm	2	Internally-headed or RelN	22.500	92.250	Kuki-Chin	Sino-Tibetan	Word Order
kew	Kewa	2	Internally-headed or RelN	-6.500	143.833	Engan	Trans-New Guinea	Word Order
imo	Imonda	2	Internally-headed or RelN	-3.333	141.167	Border	Border	Word Order
udh	Udihe	2	Internally-headed or RelN	47.667	136.250	Tungusic	Altaic	Word Order
