Dryer, Matthew S.. 2011. Adjoined relative clauses.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 90F.
Available online at http://wals.info/feature/90F
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
diy	Diyari	1	Adjoined relative clause dominant	-28.000	139.000	Pama-Nyungan	Australian	Word Order
ngk	Ngankikurungkurr	1	Adjoined relative clause dominant	-14.000	130.500	Southern Daly	Australian	Word Order
mek	Mekens	1	Adjoined relative clause dominant	-12.500	-61.500	Tupari	Tupian	Word Order
yid	Yidiny	1	Adjoined relative clause dominant	-17.000	145.750	Pama-Nyungan	Australian	Word Order
kkq	Kuikúro	1	Adjoined relative clause dominant	-12.417	-53.083	Cariban	Cariban	Word Order
mrt	Martuthunira	1	Adjoined relative clause dominant	-20.833	116.500	Pama-Nyungan	Australian	Word Order
kya	Kuku-Yalanji	1	Adjoined relative clause dominant	-16.000	145.000	Pama-Nyungan	Australian	Word Order
wrl	Warlpiri	1	Adjoined relative clause dominant	-20.000	132.333	Pama-Nyungan	Australian	Word Order
ngi	Ngiyambaa	2	Adjoined or correlative	-31.750	145.500	Pama-Nyungan	Australian	Word Order
xas	Xasonga	2	Adjoined or correlative	14.250	-10.500	Western Mande	Niger-Congo	Word Order
