Dryer, Matthew S.. 2011. Order of Degree Word and Adjective.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 91A.
Available online at http://wals.info/feature/91A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
kho	Khoekhoe	1	Degree word-Adjective	-25.500	18.000	Central Khoisan	Khoisan	Word Order
gok	Gokana	1	Degree word-Adjective	4.583	7.333	Cross River	Niger-Congo	Word Order
mbi	Mbili	1	Degree word-Adjective	6.117	10.200	Bantoid	Niger-Congo	Word Order
bab	Babungo	1	Degree word-Adjective	6.117	10.417	Bantoid	Niger-Congo	Word Order
mab	Maba	1	Degree word-Adjective	13.750	20.833	Maban	Nilo-Saharan	Word Order
msl	Masalit	1	Degree word-Adjective	13.333	22.000	Maban	Nilo-Saharan	Word Order
knm	Kunama	1	Degree word-Adjective	14.500	37.000	Kunama	Nilo-Saharan	Word Order
dim	Dime	1	Degree word-Adjective	6.167	36.250	South Omotic	Afro-Asiatic	Word Order
som	Somali	1	Degree word-Adjective	3.000	45.000	Eastern Cushitic	Afro-Asiatic	Word Order
orh	Oromo (Harar)	1	Degree word-Adjective	9.000	42.000	Eastern Cushitic	Afro-Asiatic	Word Order
arg	Arabic (Gulf)	1	Degree word-Adjective	26.000	49.000	Semitic	Afro-Asiatic	Word Order
bsq	Basque	1	Degree word-Adjective	43.000	-3.000	Basque	Basque	Word Order
arw	Armenian (Western)	1	Degree word-Adjective	38.500	43.500	Armenian	Indo-European	Word Order
snh	Sinhala	1	Degree word-Adjective	7.000	80.500	Indic	Indo-European	Word Order
sna	Shina	1	Degree word-Adjective	36.000	74.000	Indic	Indo-European	Word Order
mhi	Marathi	1	Degree word-Adjective	19.000	76.000	Indic	Indo-European	Word Order
hin	Hindi	1	Degree word-Adjective	25.000	77.000	Indic	Indo-European	Word Order
urd	Urdu	1	Degree word-Adjective	25.000	67.000	Indic	Indo-European	Word Order
lmn	Lamani	1	Degree word-Adjective	17.000	77.000	Indic	Indo-European	Word Order
pan	Panjabi	1	Degree word-Adjective	31.000	74.000	Indic	Indo-European	Word Order
guj	Gujarati	1	Degree word-Adjective	23.000	72.000	Indic	Indo-European	Word Order
psh	Pashto	1	Degree word-Adjective	33.000	67.000	Iranian	Indo-European	Word Order
vaf	Vafsi	1	Degree word-Adjective	34.667	49.917	Iranian	Indo-European	Word Order
krd	Kurdish (Central)	1	Degree word-Adjective	36.000	44.000	Iranian	Indo-European	Word Order
klr	Koluri	1	Degree word-Adjective	37.000	48.000	Iranian	Indo-European	Word Order
kbt	Kabatei	1	Degree word-Adjective	36.750	49.417	Iranian	Indo-European	Word Order
tls	Talysh (Southern)	1	Degree word-Adjective	37.000	49.000	Iranian	Indo-European	Word Order
prs	Persian	1	Degree word-Adjective	32.000	54.000	Iranian	Indo-European	Word Order
alb	Albanian	1	Degree word-Adjective	41.000	20.000	Albanian	Indo-European	Word Order
grk	Greek (Modern)	1	Degree word-Adjective	39.000	22.000	Greek	Indo-European	Word Order
srd	Sardinian	1	Degree word-Adjective	40.000	9.000	Romance	Indo-European	Word Order
rom	Romanian	1	Degree word-Adjective	46.000	25.000	Romance	Indo-European	Word Order
