Dryer, Matthew S.. 2011. Position of Polar Question Particles.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 92A.
Available online at http://wals.info/feature/92A
Accessed on 2013-11-03.

wals code	name	value	description	latitude	longitude	genus	family	area
xoo	!Xóõ	1	Initial	-24.000	21.500	Southern Khoisan	Khoisan	Word Order
mro	Moro	1	Initial	11.000	30.167	Heiban	Niger-Congo	Word Order
wlf	Wolof	1	Initial	15.250	-16.000	Northern Atlantic	Niger-Congo	Word Order
grb	Grebo	1	Initial	5.000	-8.000	Kru	Niger-Congo	Word Order
obo	Obolo	1	Initial	4.583	7.833	Cross River	Niger-Congo	Word Order
efi	Efik	1	Initial	4.917	8.500	Cross River	Niger-Congo	Word Order
gok	Gokana	1	Initial	4.583	7.333	Cross River	Niger-Congo	Word Order
ewo	Ewondo	1	Initial	4.000	12.000	Bantoid	Niger-Congo	Word Order
swa	Swahili	1	Initial	-6.500	39.000	Bantoid	Niger-Congo	Word Order
cic	Chichewa	1	Initial	-14.000	34.000	Bantoid	Niger-Congo	Word Order
maa	Maasai	1	Initial	-3.000	36.000	Nilotic	Nilo-Saharan	Word Order
cop	Coptic	1	Initial	26.000	32.000	Egyptian-Coptic	Afro-Asiatic	Word Order
brf	Berber (Rif)	1	Initial	34.500	-4.000	Berber	Afro-Asiatic	Word Order
bfg	Berber (Figuig)	1	Initial	32.500	-1.500	Berber	Afro-Asiatic	Word Order
heb	Hebrew (Modern)	1	Initial	31.500	34.833	Semitic	Afro-Asiatic	Word Order
aeg	Arabic (Egyptian)	1	Initial	30.000	31.000	Semitic	Afro-Asiatic	Word Order
ams	Arabic (Modern Standard)	1	Initial	25.000	42.000	Semitic	Afro-Asiatic	Word Order
amr	Arabic (Moroccan)	1	Initial	34.000	-6.000	Semitic	Afro-Asiatic	Word Order
rwe	Romani (Welsh)	1	Initial	52.000	-4.000	Indic	Indo-European	Word Order
hin	Hindi	1	Initial	25.000	77.000	Indic	Indo-European	Word Order
urd	Urdu	1	Initial	25.000	67.000	Indic	Indo-European	Word Order
pan	Panjabi	1	Initial	31.000	74.000	Indic	Indo-European	Word Order
bho	Bhojpuri	1	Initial	26.000	84.000	Indic	Indo-European	Word Order
prs	Persian	1	Initial	32.000	54.000	Iranian	Indo-European	Word Order
alb	Albanian	1	Initial	41.000	20.000	Albanian	Indo-European	Word Order
grk	Greek (Modern)	1	Initial	39.000	22.000	Greek	Indo-European	Word Order
srd	Sardinian	1	Initial	40.000	9.000	Romance	Indo-European	Word Order
fre	French	1	Initial	48.000	2.000	Romance	Indo-European	Word Order
por	Portuguese	1	Initial	39.000	-8.000	Romance	Indo-European	Word Order
iri	Irish	1	Initial	53.000	-8.000	Celtic	Indo-European	Word Order
bre	Breton	1	Initial	48.000	-3.000	Celtic	Indo-European	Word Order
wel	Welsh	1	Initial	52.000	-3.000	Celtic	Indo-European	Word Order
crn	Cornish	1	Initial	50.333	-5.000	Celtic	Indo-European	Word Order
lat	Latvian	1	Initial	57.000	24.000	Baltic	Indo-European	Word Order
lit	Lithuanian	1	Initial	55.000	24.000	Baltic	Indo-European	Word Order
blr	Belorussian	1	Initial	54.000	28.000	Slavic	Indo-European	Word Order
ukr	Ukrainian	1	Initial	49.000	33.000	Slavic	Indo-European	Word Order
pol	Polish	1	Initial	52.000	20.000	Slavic	Indo-European	Word Order
mns	Mansi	1	Initial	62.000	62.000	Ugric	Uralic	Word Order
drm	Darma	1	Initial	30.000	79.750	Bodic	Sino-Tibetan	Word Order
bya	Byansi	1	Initial	30.167	80.500	Bodic	Sino-Tibetan	Word Order
nnc	Nancowry	1	Initial	8.050	93.500	Nicobarese	Austro-Asiatic	Word Order
cha	Chamorro	1	Initial	13.450	144.750	Chamorro	Austronesian	Word Order
agc	Agta (Central)	1	Initial	17.967	121.833	Northern Philippines	Austronesian	Word Order
ifu	Ifugao (Batad)	1	Initial	16.833	121.083	Northern Philippines	Austronesian	Word Order
btk	Bontok	1	Initial	17.083	120.917	Northern Philippines	Austronesian	Word Order
sun	Sundanese	1	Initial	-7.000	107.000	Sundanese	Austronesian	Word Order
lmp	Lampung	1	Initial	-5.000	105.000	Lampungic	Austronesian	Word Order
nia	Nias	1	Initial	1.000	97.750	Sumatra	Austronesian	Word Order
iba	Iban	1	Initial	2.000	112.000	Malayic	Austronesian	Word Order
tla	Tolai	1	Initial	-4.250	152.083	Oceanic	Austronesian	Word Order
cem	Cèmuhî	1	Initial	-20.833	165.167	Oceanic	Austronesian	Word Order
iaa	Iaai	1	Initial	-20.417	166.583	Oceanic	Austronesian	Word Order
dre	Drehu	1	Initial	-21.000	167.250	Oceanic	Austronesian	Word Order
kos	Kosraean	1	Initial	5.300	163.000	Oceanic	Austronesian	Word Order
mok	Mokilese	1	Initial	6.667	159.750	Oceanic	Austronesian	Word Order
son	Sonsorol-Tobi	1	Initial	5.333	132.250	Oceanic	Austronesian	Word Order
rot	Rotuman	1	Initial	-12.500	177.067	Oceanic	Austronesian	Word Order
sam	Samoan	1	Initial	-13.917	-171.833	Oceanic	Austronesian	Word Order
rap	Rapanui	1	Initial	-27.117	-109.367	Oceanic	Austronesian	Word Order
ong	Onge	1	Initial	10.750	92.417	South Andamanese	South Andamanese	Word Order
mau	Maung	1	Initial	-11.917	133.500	Iwaidjan	Australian	Word Order
ngn	Ngandi	1	Initial	-13.833	135.000	Ngandi	Australian	Word Order
bbw	Bininj Gun-Wok	1	Initial	-12.500	133.750	Gunwinygic	Australian	Word Order
nkb	Ngalkbun	1	Initial	-13.500	134.833	Gunwinygic	Australian	Word Order
dji	Djingili	1	Initial	-17.750	134.000	West Barkly	Australian	Word Order
yuk	Yukulta	1	Initial	-17.333	138.833	Tangkic	Australian	Word Order
mrw	Muruwari	1	Initial	-28.750	147.000	Pama-Nyungan	Australian	Word Order
bnj	Bandjalang	1	Initial	-28.750	153.000	Pama-Nyungan	Australian	Word Order
djp	Djapu	1	Initial	-12.667	136.000	Pama-Nyungan	Australian	Word Order
kya	Kuku-Yalanji	1	Initial	-16.000	145.000	Pama-Nyungan	Australian	Word Order
mny	Margany	1	Initial	-27.000	144.500	Pama-Nyungan	Australian	Word Order
yuw	Yuwaalaraay	1	Initial	-29.500	148.000	Pama-Nyungan	Australian	Word Order
wth	Wathawurrung	1	Initial	-38.000	144.000	Pama-Nyungan	Australian	Word Order
bnu	Bularnu	1	Initial	-21.000	138.000	Pama-Nyungan	Australian	Word Order
krj	Karadjeri	1	Initial	-19.000	122.000	Pama-Nyungan	Australian	Word Order
sla	Slave	1	Initial	67.000	-125.000	Athapaskan	Na-Dene	Word Order
kut	Kutenai	1	Initial	49.500	-116.000	Kutenai	Kutenai	Word Order
ksa	Keresan (Santa Ana)	1	Initial	35.417	-106.667	Keresan	Keresan	Word Order
nez	Nez Perce	1	Initial	46.000	-116.000	Sahaptian	Penutian	Word Order
wik	Wikchamni	1	Initial	36.417	-119.083	Yokuts	Penutian	Word Order
yok	Yokuts (Yaudanchi)	1	Initial	36.083	-119.083	Yokuts	Penutian	Word Order
ywl	Yawelmani	1	Initial	35.417	-119.000	Yokuts	Penutian	Word Order
mut	Mutsun	1	Initial	36.833	-121.500	Costanoan	Penutian	Word Order
txj	Totonac (Xicotepec de Juárez)	1	Initial	20.417	-97.833	Totonacan	Totonacan	Word Order
tzo	Tzotzil	1	Initial	16.500	-92.667	Mayan	Mayan	Word Order
tzu	Tzutujil	1	Initial	14.667	-91.333	Mayan	Mayan	Word Order
chx	Chontal (Huamelultec Oaxaca)	1	Initial	16.000	-95.750	Tequistlatecan	Tequistlatecan	Word Order
otm	Otomí (Mezquital)	1	Initial	20.167	-99.167	Otomian	Oto-Manguean	Word Order
ocu	Ocuilteco	1	Initial	18.917	-99.667	Otomian	Oto-Manguean	Word Order
mxo	Mixtec (Ocotepec)	1	Initial	17.167	-97.750	Mixtecan	Oto-Manguean	Word Order
mzh	Mazatec (Huautla)	1	Initial	18.250	-96.833	Popolocan	Oto-Manguean	Word Order
ccm	Chinantec (Comaltepec)	1	Initial	17.583	-96.417	Chinantecan	Oto-Manguean	Word Order
cle	Chinantec (Lealao)	1	Initial	17.333	-95.917	Chinantecan	Oto-Manguean	Word Order
chq	Chinantec (Quiotepec)	1	Initial	17.583	-96.667	Chinantecan	Oto-Manguean	Word Order
zap	Zapotec (Mitla)	1	Initial	16.800	-96.250	Zapotecan	Oto-Manguean	Word Order
zya	Zapotec (Yatzachi)	1	Initial	17.200	-96.200	Zapotecan	Oto-Manguean	Word Order
tlp	Tlapanec	1	Initial	17.083	-99.000	Subtiaba-Tlapanec	Oto-Manguean	Word Order
kio	Kiowa	1	Initial	37.000	-99.000	Kiowa-Tanoan	Kiowa-Tanoan	Word Order
hop	Hopi	1	Initial	36.000	-110.000	Hopi	Uto-Aztecan	Word Order
ood	O'odham	1	Initial	32.000	-112.000	Tepiman	Uto-Aztecan	Word Order
nev	Nevome	1	Initial	31.000	-112.500	Tepiman	Uto-Aztecan	Word Order
yaq	Yaqui	1	Initial	27.500	-110.250	Cahita	Uto-Aztecan	Word Order
eud	Eudeve	1	Initial	29.167	-109.667	Cahita	Uto-Aztecan	Word Order
gav	Gavião	1	Initial	-10.667	-62.000	Monde	Tupian	Word Order
plk	Palikur	1	Initial	3.000	-51.000	Arawakan	Arawakan	Word Order
res	Resígaro	1	Initial	-2.417	-71.500	Arawakan	Arawakan	Word Order
goa	Goajiro	1	Initial	12.000	-72.000	Arawakan	Arawakan	Word Order
wch	Wichí	1	Initial	-22.500	-62.583	Matacoan	Matacoan	Word Order
ese	Ese Ejja	1	Initial	-11.000	-66.000	Tacanan	Tacanan	Word Order
tac	Tacana	1	Initial	-13.500	-68.000	Tacanan	Tacanan	Word Order
xav	Xavánte	1	Initial	-15.000	-52.500	Ge-Kaingang	Macro-Ge	Word Order
api	Apinayé	1	Initial	-5.500	-48.000	Ge-Kaingang	Macro-Ge	Word Order
kyp	Kayapó	1	Initial	-9.000	-52.000	Ge-Kaingang	Macro-Ge	Word Order
ckr	Canela-Krahô	1	Initial	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Word Order
pga	Pilagá	1	Initial	-25.000	-60.000	Guaicuruan	Guaicuruan	Word Order
bma	Berber (Middle Atlas)	1	Initial	33.000	-5.000	Berber	Afro-Asiatic	Word Order
nyu	Nyulnyul	1	Initial	-17.000	122.833	Nyulnyulan	Australian	Word Order
ret	Retuarã	1	Initial	-0.500	-70.667	Tucanoan	Tucanoan	Word Order
max	Maxakalí	1	Initial	-18.000	-40.000	Maxakalí	Macro-Ge	Word Order
mrq	Marquesan	1	Initial	-8.917	-140.083	Oceanic	Austronesian	Word Order
qum	Sipakapense	1	Initial	15.250	-91.750	Mayan	Mayan	Word Order
brp	Barupu	1	Initial	-3.083	142.083	Warapu	Skou	Word Order
tho	Thompson	1	Initial	49.750	-121.750	Interior Salish	Salishan	Word Order
err	Erromangan	1	Initial	-18.833	169.167	Oceanic	Austronesian	Word Order
pnx	Panará	1	Initial	-10.000	-55.000	Ge-Kaingang	Macro-Ge	Word Order
hve	Huave (San Mateo del Mar)	1	Initial	16.217	-95.000	Huavean	Huavean	Word Order
tsk	Tamashek	1	Initial	20.000	-2.000	Berber	Afro-Asiatic	Word Order
tee	Tepehua (Huehuetla)	1	Initial	20.500	-98.000	Totonacan	Totonacan	Word Order
all	Ala'ala	1	Initial	-8.917	146.750	Oceanic	Austronesian	Word Order
krn	Korana	2	Final	-29.500	20.500	Central Khoisan	Khoisan	Word Order
ani	//Ani	2	Final	-18.917	21.917	Central Khoisan	Khoisan	Word Order
kxo	Kxoe	2	Final	-17.500	22.500	Central Khoisan	Khoisan	Word Order
bus	Busa	2	Final	9.667	4.000	Eastern Mande	Niger-Congo	Word Order
dan	Dan	2	Final	7.500	-8.000	Eastern Mande	Niger-Congo	Word Order
maw	Maninka (Western)	2	Final	13.000	-11.000	Western Mande	Niger-Congo	Word Order
bam	Bambara	2	Final	12.500	-7.500	Western Mande	Niger-Congo	Word Order
mka	Mauka	2	Final	8.333	-7.500	Western Mande	Niger-Congo	Word Order
snn	Soninke	2	Final	15.000	-10.500	Western Mande	Niger-Congo	Word Order
fua	Fula (Cameroonian)	2	Final	9.167	13.500	Northern Atlantic	Niger-Congo	Word Order
tne	Temne	2	Final	8.667	-13.083	Southern Atlantic	Niger-Congo	Word Order
dds	Donno So	2	Final	14.333	-3.583	Dogon	Niger-Congo	Word Order
tny	Tenyer	2	Final	10.667	-4.500	Gur	Niger-Congo	Word Order
sup	Supyire	2	Final	11.500	-5.583	Gur	Niger-Congo	Word Order
kfe	Koromfe	2	Final	14.250	-0.917	Gur	Niger-Congo	Word Order
moo	Mooré	2	Final	12.833	-1.250	Gur	Niger-Congo	Word Order
kby	Kabiyé	2	Final	9.667	1.167	Gur	Niger-Congo	Word Order
doy	Doyayo	2	Final	8.667	13.083	Adamawa	Niger-Congo	Word Order
mum	Mumuye	2	Final	9.000	11.667	Adamawa	Niger-Congo	Word Order
mbm	Mbum	2	Final	7.750	13.167	Adamawa	Niger-Congo	Word Order
gbb	Gbeya Bossangoa	2	Final	6.667	17.500	Ubangi	Niger-Congo	Word Order
ngb	Ngbaka	2	Final	3.500	20.000	Ubangi	Niger-Congo	Word Order
san	Sango	2	Final	5.000	18.000	Ubangi	Niger-Congo	Word Order
lnd	Linda	2	Final	6.500	20.750	Ubangi	Niger-Congo	Word Order
nkn	Nkonya	2	Final	7.167	0.250	Kwa	Niger-Congo	Word Order
ega	Ega	2	Final	5.500	-5.500	Kwa	Niger-Congo	Word Order
ewe	Ewe	2	Final	6.333	0.417	Kwa	Niger-Congo	Word Order
adi	Adioukrou	2	Final	5.417	-4.583	Kwa	Niger-Congo	Word Order
gwa	Gwari	2	Final	9.500	7.000	Nupoid	Niger-Congo	Word Order
ige	Igede	2	Final	7.000	8.167	Idomoid	Niger-Congo	Word Order
egn	Engenni	2	Final	5.167	6.383	Edoid	Niger-Congo	Word Order
izi	Izi	2	Final	6.333	8.000	Igboid	Niger-Congo	Word Order
juk	Jukun	2	Final	6.917	10.417	Platoid	Niger-Congo	Word Order
bir	Birom	2	Final	9.667	8.833	Platoid	Niger-Congo	Word Order
fye	Fyem	2	Final	9.583	9.333	Platoid	Niger-Congo	Word Order
duk	Duka	2	Final	11.167	5.083	Kainji	Niger-Congo	Word Order
amo	Amo	2	Final	10.333	8.667	Kainji	Niger-Congo	Word Order
jar	Jarawa (in Nigeria)	2	Final	9.500	10.500	Bantoid	Niger-Congo	Word Order
mgk	Mungaka	2	Final	5.917	10.000	Bantoid	Niger-Congo	Word Order
bab	Babungo	2	Final	6.117	10.417	Bantoid	Niger-Congo	Word Order
non	Noni	2	Final	6.417	10.583	Bantoid	Niger-Congo	Word Order
ldo	Londo	2	Final	5.000	9.167	Bantoid	Niger-Congo	Word Order
bkn	Bakundu	2	Final	4.833	9.333	Bantoid	Niger-Congo	Word Order
tnn	Tunen	2	Final	4.750	10.667	Bantoid	Niger-Congo	Word Order
ifm	Ifumu	2	Final	-3.667	15.333	Bantoid	Niger-Congo	Word Order
cga	Chaga	2	Final	-3.000	37.000	Bantoid	Niger-Congo	Word Order
nko	Nkore-Kiga	2	Final	-0.917	29.833	Bantoid	Niger-Congo	Word Order
kwn	Kwangali	2	Final	-18.000	19.500	Bantoid	Niger-Congo	Word Order
kil	Kiluba	2	Final	-8.000	26.000	Bantoid	Niger-Congo	Word Order
zul	Zulu	2	Final	-30.000	30.000	Bantoid	Niger-Congo	Word Order
