Dryer, Matthew S.. 2011. Position of Interrogative Phrases in Content Questions.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 93A.
Available online at http://wals.info/feature/93A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
krn	Korana	1	Initial interrogative phrase	-29.500	20.500	Central Khoisan	Khoisan	Word Order
kho	Khoekhoe	1	Initial interrogative phrase	-25.500	18.000	Central Khoisan	Khoisan	Word Order
mde	Mende	1	Initial interrogative phrase	7.833	-11.500	Western Mande	Niger-Congo	Word Order
fni	Fula (Nigerian)	1	Initial interrogative phrase	8.167	10.500	Northern Atlantic	Niger-Congo	Word Order
wlf	Wolof	1	Initial interrogative phrase	15.250	-16.000	Northern Atlantic	Niger-Congo	Word Order
tne	Temne	1	Initial interrogative phrase	8.667	-13.083	Southern Atlantic	Niger-Congo	Word Order
kis	Kisi	1	Initial interrogative phrase	8.833	-10.167	Southern Atlantic	Niger-Congo	Word Order
grb	Grebo	1	Initial interrogative phrase	5.000	-8.000	Kru	Niger-Congo	Word Order
kfe	Koromfe	1	Initial interrogative phrase	14.250	-0.917	Gur	Niger-Congo	Word Order
dgb	Dagbani	1	Initial interrogative phrase	9.583	-0.500	Gur	Niger-Congo	Word Order
yor	Yoruba	1	Initial interrogative phrase	8.000	4.333	Defoid	Niger-Congo	Word Order
kse	Koyraboro Senni	1	Initial interrogative phrase	16.000	0.000	Songhay	Nilo-Saharan	Word Order
knr	Kanuri	1	Initial interrogative phrase	12.000	13.000	Western Saharan	Nilo-Saharan	Word Order
tbu	Tubu	1	Initial interrogative phrase	16.000	15.000	Western Saharan	Nilo-Saharan	Word Order
ik	Ik	1	Initial interrogative phrase	3.750	34.167	Kuliak	Nilo-Saharan	Word Order
so	So	1	Initial interrogative phrase	2.583	34.750	Kuliak	Nilo-Saharan	Word Order
brf	Berber (Rif)	1	Initial interrogative phrase	34.500	-4.000	Berber	Afro-Asiatic	Word Order
bfg	Berber (Figuig)	1	Initial interrogative phrase	32.500	-1.500	Berber	Afro-Asiatic	Word Order
gud	Gude	1	Initial interrogative phrase	10.417	13.417	Biu-Mandara	Afro-Asiatic	Word Order
zay	Zayse	1	Initial interrogative phrase	5.917	37.333	North Omotic	Afro-Asiatic	Word Order
heb	Hebrew (Modern)	1	Initial interrogative phrase	31.500	34.833	Semitic	Afro-Asiatic	Word Order
asy	Arabic (Syrian)	1	Initial interrogative phrase	34.000	38.000	Semitic	Afro-Asiatic	Word Order
meh	Mehri	1	Initial interrogative phrase	17.000	51.500	Semitic	Afro-Asiatic	Word Order
grk	Greek (Modern)	1	Initial interrogative phrase	39.000	22.000	Greek	Indo-European	Word Order
rom	Romanian	1	Initial interrogative phrase	46.000	25.000	Romance	Indo-European	Word Order
fre	French	1	Initial interrogative phrase	48.000	2.000	Romance	Indo-European	Word Order
spa	Spanish	1	Initial interrogative phrase	40.000	-4.000	Romance	Indo-European	Word Order
iri	Irish	1	Initial interrogative phrase	53.000	-8.000	Celtic	Indo-European	Word Order
gae	Gaelic (Scots)	1	Initial interrogative phrase	57.000	-4.000	Celtic	Indo-European	Word Order
bre	Breton	1	Initial interrogative phrase	48.000	-3.000	Celtic	Indo-European	Word Order
wel	Welsh	1	Initial interrogative phrase	52.000	-3.000	Celtic	Indo-European	Word Order
dsh	Danish	1	Initial interrogative phrase	56.000	10.000	Germanic	Indo-European	Word Order
swe	Swedish	1	Initial interrogative phrase	60.000	15.000	Germanic	Indo-European	Word Order
nor	Norwegian	1	Initial interrogative phrase	61.000	8.000	Germanic	Indo-European	Word Order
ger	German	1	Initial interrogative phrase	52.000	10.000	Germanic	Indo-European	Word Order
eng	English	1	Initial interrogative phrase	52.000	0.000	Germanic	Indo-European	Word Order
fri	Frisian	1	Initial interrogative phrase	53.000	5.000	Germanic	Indo-European	Word Order
lat	Latvian	1	Initial interrogative phrase	57.000	24.000	Baltic	Indo-European	Word Order
lit	Lithuanian	1	Initial interrogative phrase	55.000	24.000	Baltic	Indo-European	Word Order
rus	Russian	1	Initial interrogative phrase	56.000	38.000	Slavic	Indo-European	Word Order
pol	Polish	1	Initial interrogative phrase	52.000	20.000	Slavic	Indo-European	Word Order
bul	Bulgarian	1	Initial interrogative phrase	42.500	25.000	Slavic	Indo-European	Word Order
fin	Finnish	1	Initial interrogative phrase	62.000	25.000	Finnic	Uralic	Word Order
est	Estonian	1	Initial interrogative phrase	59.000	26.000	Finnic	Uralic	Word Order
eve	Evenki	1	Initial interrogative phrase	56.000	125.000	Tungusic	Altaic	Word Order
