Dryer, Matthew S.. 2011. Order of Adverbial Subordinator and Clause.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 94A.
Available online at http://wals.info/feature/94A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
juh	Ju|'hoan	1	Initial subordinator word	-19.000	21.000	Northern Khoisan	Khoisan	Word Order
ani	//Ani	1	Initial subordinator word	-18.917	21.917	Central Khoisan	Khoisan	Word Order
mro	Moro	1	Initial subordinator word	11.000	30.167	Heiban	Niger-Congo	Word Order
man	Mano	1	Initial subordinator word	7.000	-9.000	Eastern Mande	Niger-Congo	Word Order
mkg	Mandinka (Gambian)	1	Initial subordinator word	13.417	-16.000	Western Mande	Niger-Congo	Word Order
mka	Mauka	1	Initial subordinator word	8.333	-7.500	Western Mande	Niger-Congo	Word Order
vai	Vai	1	Initial subordinator word	6.917	-11.250	Western Mande	Niger-Congo	Word Order
sus	Susu	1	Initial subordinator word	10.000	-13.000	Western Mande	Niger-Congo	Word Order
mde	Mende	1	Initial subordinator word	7.833	-11.500	Western Mande	Niger-Congo	Word Order
fni	Fula (Nigerian)	1	Initial subordinator word	8.167	10.500	Northern Atlantic	Niger-Congo	Word Order
fua	Fula (Cameroonian)	1	Initial subordinator word	9.167	13.500	Northern Atlantic	Niger-Congo	Word Order
wlf	Wolof	1	Initial subordinator word	15.250	-16.000	Northern Atlantic	Niger-Congo	Word Order
dio	Diola-Fogny	1	Initial subordinator word	13.000	-16.250	Northern Atlantic	Niger-Congo	Word Order
tne	Temne	1	Initial subordinator word	8.667	-13.083	Southern Atlantic	Niger-Congo	Word Order
kis	Kisi	1	Initial subordinator word	8.833	-10.167	Southern Atlantic	Niger-Congo	Word Order
tou	Toussian	1	Initial subordinator word	11.000	-4.667	Gur	Niger-Congo	Word Order
sup	Supyire	1	Initial subordinator word	11.500	-5.583	Gur	Niger-Congo	Word Order
kfe	Koromfe	1	Initial subordinator word	14.250	-0.917	Gur	Niger-Congo	Word Order
kir	Kirma	1	Initial subordinator word	10.250	-4.833	Gur	Niger-Congo	Word Order
mbm	Mbum	1	Initial subordinator word	7.750	13.167	Adamawa	Niger-Congo	Word Order
san	Sango	1	Initial subordinator word	5.000	18.000	Ubangi	Niger-Congo	Word Order
bak	Baka (in Cameroon)	1	Initial subordinator word	2.583	13.583	Ubangi	Niger-Congo	Word Order
lnd	Linda	1	Initial subordinator word	6.500	20.750	Ubangi	Niger-Congo	Word Order
mga	Mondunga	1	Initial subordinator word	2.250	21.500	Ubangi	Niger-Congo	Word Order
nkn	Nkonya	1	Initial subordinator word	7.167	0.250	Kwa	Niger-Congo	Word Order
llm	Lelemi	1	Initial subordinator word	7.333	0.500	Kwa	Niger-Congo	Word Order
ga	Gã	1	Initial subordinator word	5.667	-0.167	Kwa	Niger-Congo	Word Order
ewe	Ewe	1	Initial subordinator word	6.333	0.417	Kwa	Niger-Congo	Word Order
gwa	Gwari	1	Initial subordinator word	9.500	7.000	Nupoid	Niger-Congo	Word Order
yor	Yoruba	1	Initial subordinator word	8.000	4.333	Defoid	Niger-Congo	Word Order
igb	Igbo	1	Initial subordinator word	6.000	7.333	Igboid	Niger-Congo	Word Order
izi	Izi	1	Initial subordinator word	6.333	8.000	Igboid	Niger-Congo	Word Order
bir	Birom	1	Initial subordinator word	9.667	8.833	Platoid	Niger-Congo	Word Order
fye	Fyem	1	Initial subordinator word	9.583	9.333	Platoid	Niger-Congo	Word Order
obo	Obolo	1	Initial subordinator word	4.583	7.833	Cross River	Niger-Congo	Word Order
efi	Efik	1	Initial subordinator word	4.917	8.500	Cross River	Niger-Congo	Word Order
kan	Kana	1	Initial subordinator word	4.750	7.417	Cross River	Niger-Congo	Word Order
gok	Gokana	1	Initial subordinator word	4.583	7.333	Cross River	Niger-Congo	Word Order
duk	Duka	1	Initial subordinator word	11.167	5.083	Kainji	Niger-Congo	Word Order
amo	Amo	1	Initial subordinator word	10.333	8.667	Kainji	Niger-Congo	Word Order
non	Noni	1	Initial subordinator word	6.417	10.583	Bantoid	Niger-Congo	Word Order
tnn	Tunen	1	Initial subordinator word	4.750	10.667	Bantoid	Niger-Congo	Word Order
ewo	Ewondo	1	Initial subordinator word	4.000	12.000	Bantoid	Niger-Congo	Word Order
