Dryer, Matthew S.. 2011. Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 96A.
Available online at http://wals.info/feature/96A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
kho	Khoekhoe	1	OV and RelN	-25.500	18.000	Central Khoisan	Khoisan	Word Order
ijo	Ijo (Kolokuma)	1	OV and RelN	4.917	5.667	Ijoid	Niger-Congo	Word Order
zay	Zayse	1	OV and RelN	5.917	37.333	North Omotic	Afro-Asiatic	Word Order
kem	Kemant	1	OV and RelN	12.667	37.417	Central Cushitic	Afro-Asiatic	Word Order
qaf	Qafar	1	OV and RelN	12.000	42.000	Eastern Cushitic	Afro-Asiatic	Word Order
tgr	Tigré	1	OV and RelN	16.500	38.500	Semitic	Afro-Asiatic	Word Order
amh	Amharic	1	OV and RelN	10.000	38.000	Semitic	Afro-Asiatic	Word Order
chh	Chaha	1	OV and RelN	8.113	37.933	Semitic	Afro-Asiatic	Word Order
bsq	Basque	1	OV and RelN	43.000	-3.000	Basque	Basque	Word Order
khw	Khowar	1	OV and RelN	36.000	72.000	Indic	Indo-European	Word Order
mhi	Marathi	1	OV and RelN	19.000	76.000	Indic	Indo-European	Word Order
lmn	Lamani	1	OV and RelN	17.000	77.000	Indic	Indo-European	Word Order
mns	Mansi	1	OV and RelN	62.000	62.000	Ugric	Uralic	Word Order
yko	Yukaghir (Kolyma)	1	OV and RelN	65.750	150.833	Yukaghir	Yukaghir	Word Order
dgr	Dagur	1	OV and RelN	48.000	124.000	Mongolic	Altaic	Word Order
kmk	Kalmyk	1	OV and RelN	44.000	83.000	Mongolic	Altaic	Word Order
kha	Khalkha	1	OV and RelN	47.000	105.000	Mongolic	Altaic	Word Order
eve	Evenki	1	OV and RelN	56.000	125.000	Tungusic	Altaic	Word Order
chv	Chuvash	1	OV and RelN	55.500	47.500	Turkic	Altaic	Word Order
tur	Turkish	1	OV and RelN	39.000	35.000	Turkic	Altaic	Word Order
tkm	Turkmen	1	OV and RelN	40.000	58.000	Turkic	Altaic	Word Order
uzb	Uzbek	1	OV and RelN	39.000	66.000	Turkic	Altaic	Word Order
bsk	Bashkir	1	OV and RelN	53.000	58.000	Turkic	Altaic	Word Order
tvo	Tatar	1	OV and RelN	56.000	49.500	Turkic	Altaic	Word Order
kkp	Karakalpak	1	OV and RelN	43.000	60.000	Turkic	Altaic	Word Order
ykt	Yakut	1	OV and RelN	62.000	130.000	Turkic	Altaic	Word Order
kor	Korean	1	OV and RelN	37.500	128.000	Korean	Korean	Word Order
ain	Ainu	1	OV and RelN	43.000	143.000	Ainu	Ainu	Word Order
jpn	Japanese	1	OV and RelN	37.000	140.000	Japanese	Japanese	Word Order
uby	Ubykh	1	OV and RelN	43.667	39.667	Northwest Caucasian	Northwest Caucasian	Word Order
