Dryer, Matthew S.. 2011. Relationship between the Order of Object and Verb and the Order of Adjective and Noun.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 97A.
Available online at http://wals.info/feature/97A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
krn	Korana	1	OV and AdjN	-29.500	20.500	Central Khoisan	Khoisan	Word Order
kho	Khoekhoe	1	OV and AdjN	-25.500	18.000	Central Khoisan	Khoisan	Word Order
kxo	Kxoe	1	OV and AdjN	-17.500	22.500	Central Khoisan	Khoisan	Word Order
ijo	Ijo (Kolokuma)	1	OV and AdjN	4.917	5.667	Ijoid	Niger-Congo	Word Order
shb	Shabo	1	OV and AdjN	7.583	35.417	Shabo	Nilo-Saharan	Word Order
wly	Wolaytta	1	OV and AdjN	6.833	37.750	North Omotic	Afro-Asiatic	Word Order
zay	Zayse	1	OV and AdjN	5.917	37.333	North Omotic	Afro-Asiatic	Word Order
kem	Kemant	1	OV and AdjN	12.667	37.417	Central Cushitic	Afro-Asiatic	Word Order
qaf	Qafar	1	OV and AdjN	12.000	42.000	Eastern Cushitic	Afro-Asiatic	Word Order
tgr	Tigré	1	OV and AdjN	16.500	38.500	Semitic	Afro-Asiatic	Word Order
tig	Tigrinya	1	OV and AdjN	14.500	38.500	Semitic	Afro-Asiatic	Word Order
amh	Amharic	1	OV and AdjN	10.000	38.000	Semitic	Afro-Asiatic	Word Order
sod	Soddo	1	OV and AdjN	8.500	38.500	Semitic	Afro-Asiatic	Word Order
chh	Chaha	1	OV and AdjN	8.113	37.933	Semitic	Afro-Asiatic	Word Order
arw	Armenian (Western)	1	OV and AdjN	38.500	43.500	Armenian	Indo-European	Word Order
snh	Sinhala	1	OV and AdjN	7.000	80.500	Indic	Indo-European	Word Order
khw	Khowar	1	OV and AdjN	36.000	72.000	Indic	Indo-European	Word Order
bkt	Brokskat	1	OV and AdjN	35.333	76.500	Indic	Indo-European	Word Order
dmk	Dumaki	1	OV and AdjN	36.167	74.000	Indic	Indo-European	Word Order
sna	Shina	1	OV and AdjN	36.000	74.000	Indic	Indo-European	Word Order
sav	Savi	1	OV and AdjN	35.000	71.500	Indic	Indo-European	Word Order
mhi	Marathi	1	OV and AdjN	19.000	76.000	Indic	Indo-European	Word Order
hin	Hindi	1	OV and AdjN	25.000	77.000	Indic	Indo-European	Word Order
urd	Urdu	1	OV and AdjN	25.000	67.000	Indic	Indo-European	Word Order
lmn	Lamani	1	OV and AdjN	17.000	77.000	Indic	Indo-European	Word Order
pan	Panjabi	1	OV and AdjN	31.000	74.000	Indic	Indo-European	Word Order
guj	Gujarati	1	OV and AdjN	23.000	72.000	Indic	Indo-European	Word Order
kum	Kumauni	1	OV and AdjN	30.000	80.000	Indic	Indo-European	Word Order
nep	Nepali	1	OV and AdjN	28.000	85.000	Indic	Indo-European	Word Order
bho	Bhojpuri	1	OV and AdjN	26.000	84.000	Indic	Indo-European	Word Order
mai	Maithili	1	OV and AdjN	26.000	86.000	Indic	Indo-European	Word Order
pra	Prasuni	1	OV and AdjN	35.500	71.000	Indic	Indo-European	Word Order
oss	Ossetic	1	OV and AdjN	43.000	44.000	Iranian	Indo-European	Word Order
wak	Wakhi	1	OV and AdjN	36.500	72.000	Iranian	Indo-European	Word Order
psh	Pashto	1	OV and AdjN	33.000	67.000	Iranian	Indo-European	Word Order
klr	Koluri	1	OV and AdjN	37.000	48.000	Iranian	Indo-European	Word Order
kbt	Kabatei	1	OV and AdjN	36.750	49.417	Iranian	Indo-European	Word Order
tls	Talysh (Southern)	1	OV and AdjN	37.000	49.000	Iranian	Indo-European	Word Order
srb	Sorbian	1	OV and AdjN	51.500	14.000	Slavic	Indo-European	Word Order
nen	Nenets	1	OV and AdjN	69.000	72.000	Samoyedic	Uralic	Word Order
ene	Enets	1	OV and AdjN	67.500	86.500	Samoyedic	Uralic	Word Order
nga	Nganasan	1	OV and AdjN	71.000	93.000	Samoyedic	Uralic	Word Order
kms	Kamass	1	OV and AdjN	52.000	92.000	Samoyedic	Uralic	Word Order
skp	Selkup	1	OV and AdjN	65.000	82.000	Samoyedic	Uralic	Word Order
kty	Khanty	1	OV and AdjN	65.000	65.000	Ugric	Uralic	Word Order
mns	Mansi	1	OV and AdjN	62.000	62.000	Ugric	Uralic	Word Order
udm	Udmurt	1	OV and AdjN	57.500	52.500	Permic	Uralic	Word Order
kop	Komi-Permyak	1	OV and AdjN	59.500	54.500	Permic	Uralic	Word Order
mme	Mari (Meadow)	1	OV and AdjN	57.000	48.000	Mari	Uralic	Word Order
ytu	Yukaghir (Tundra)	1	OV and AdjN	69.000	155.000	Yukaghir	Yukaghir	Word Order
yko	Yukaghir (Kolyma)	1	OV and AdjN	65.750	150.833	Yukaghir	Yukaghir	Word Order
dgr	Dagur	1	OV and AdjN	48.000	124.000	Mongolic	Altaic	Word Order
kmk	Kalmyk	1	OV and AdjN	44.000	83.000	Mongolic	Altaic	Word Order
but	Buriat	1	OV and AdjN	52.000	108.000	Mongolic	Altaic	Word Order
kha	Khalkha	1	OV and AdjN	47.000	105.000	Mongolic	Altaic	Word Order
evn	Even	1	OV and AdjN	68.000	130.000	Tungusic	Altaic	Word Order
eve	Evenki	1	OV and AdjN	56.000	125.000	Tungusic	Altaic	Word Order
mnc	Manchu	1	OV and AdjN	49.500	127.500	Tungusic	Altaic	Word Order
udh	Udihe	1	OV and AdjN	47.667	136.250	Tungusic	Altaic	Word Order
chv	Chuvash	1	OV and AdjN	55.500	47.500	Turkic	Altaic	Word Order
khl	Khalaj	1	OV and AdjN	35.000	50.000	Turkic	Altaic	Word Order
aze	Azerbaijani	1	OV and AdjN	40.500	48.500	Turkic	Altaic	Word Order
tur	Turkish	1	OV and AdjN	39.000	35.000	Turkic	Altaic	Word Order
tkm	Turkmen	1	OV and AdjN	40.000	58.000	Turkic	Altaic	Word Order
uzb	Uzbek	1	OV and AdjN	39.000	66.000	Turkic	Altaic	Word Order
bsk	Bashkir	1	OV and AdjN	53.000	58.000	Turkic	Altaic	Word Order
tvo	Tatar	1	OV and AdjN	56.000	49.500	Turkic	Altaic	Word Order
kkp	Karakalpak	1	OV and AdjN	43.000	60.000	Turkic	Altaic	Word Order
ykt	Yakut	1	OV and AdjN	62.000	130.000	Turkic	Altaic	Word Order
tuv	Tuvan	1	OV and AdjN	52.000	95.000	Turkic	Altaic	Word Order
kor	Korean	1	OV and AdjN	37.500	128.000	Korean	Korean	Word Order
ain	Ainu	1	OV and AdjN	43.000	143.000	Ainu	Ainu	Word Order
jpn	Japanese	1	OV and AdjN	37.000	140.000	Japanese	Japanese	Word Order
chk	Chukchi	1	OV and AdjN	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Word Order
kry	Koryak	1	OV and AdjN	61.000	167.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Word Order
niv	Nivkh	1	OV and AdjN	53.333	142.000	Nivkh	Nivkh	Word Order
ket	Ket	1	OV and AdjN	64.000	87.000	Yeniseian	Yeniseian	Word Order
geo	Georgian	1	OV and AdjN	42.000	44.000	Kartvelian	Kartvelian	Word Order
uby	Ubykh	1	OV and AdjN	43.667	39.667	Northwest Caucasian	Northwest Caucasian	Word Order
