Comrie, Bernard. 2011. Alignment of Case Marking of Pronouns.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 99A.
Available online at http://wals.info/feature/99A
Accessed on 2013-11-04.

wals code	name	value	description	latitude	longitude	genus	family	area
abk	Abkhaz	1	Neutral	43.083	41.000	Northwest Caucasian	Northwest Caucasian	Simple Clauses
ame	Amele	1	Neutral	-5.250	145.583	Madang	Trans-New Guinea	Simple Clauses
apu	Apurinã	1	Neutral	-9.000	-67.000	Arawakan	Arawakan	Simple Clauses
arp	Arapesh (Mountain)	1	Neutral	-3.467	143.167	Kombio-Arapesh	Torricelli	Simple Clauses
mxc	Mixtec (Chalcatongo)	1	Neutral	17.050	-97.583	Mixtecan	Oto-Manguean	Simple Clauses
cea	Cree (Eastern)	1	Neutral	51.000	-74.000	Algonquian	Algic	Simple Clauses
dag	Daga	1	Neutral	-10.000	149.333	Dagan	Dagan	Simple Clauses
aeg	Arabic (Egyptian)	1	Neutral	30.000	31.000	Semitic	Afro-Asiatic	Simple Clauses
geo	Georgian	1	Neutral	42.000	44.000	Kartvelian	Kartvelian	Simple Clauses
hau	Hausa	1	Neutral	12.000	7.000	West Chadic	Afro-Asiatic	Simple Clauses
hix	Hixkaryana	1	Neutral	-1.000	-59.000	Cariban	Cariban	Simple Clauses
hmo	Hmong Njua	1	Neutral	28.000	105.000	Hmong-Mien	Hmong-Mien	Simple Clauses
ind	Indonesian	1	Neutral	0.000	106.000	Malayic	Austronesian	Simple Clauses
jak	Jakaltek	1	Neutral	15.667	-91.667	Mayan	Mayan	Simple Clauses
krk	Karok	1	Neutral	41.667	-123.000	Karok	Karok	Simple Clauses
kse	Koyraboro Senni	1	Neutral	16.000	0.000	Songhay	Nilo-Saharan	Simple Clauses
kro	Krongo	1	Neutral	10.500	30.000	Kadugli	Kadugli	Simple Clauses
kut	Kutenai	1	Neutral	49.500	-116.000	Kutenai	Kutenai	Simple Clauses
lan	Lango	1	Neutral	2.167	33.000	Nilotic	Nilo-Saharan	Simple Clauses
lav	Lavukaleve	1	Neutral	-9.083	159.200	Lavukaleve	Solomons East Papuan	Simple Clauses
luv	Luvale	1	Neutral	-12.000	22.000	Bantoid	Niger-Congo	Simple Clauses
mnd	Mandarin	1	Neutral	34.000	110.000	Chinese	Sino-Tibetan	Simple Clauses
map	Mapudungun	1	Neutral	-38.000	-72.000	Araucanian	Araucanian	Simple Clauses
wch	Wichí	1	Neutral	-22.500	-62.583	Matacoan	Matacoan	Simple Clauses
mau	Maung	1	Neutral	-11.917	133.500	Iwaidjan	Australian	Simple Clauses
may	Maybrat	1	Neutral	-1.333	132.500	North-Central Bird's Head	West Papuan	Simple Clauses
prh	Pirahã	1	Neutral	-7.000	-62.000	Mura	Mura	Simple Clauses
rap	Rapanui	1	Neutral	-27.117	-109.367	Oceanic	Austronesian	Simple Clauses
san	Sango	1	Neutral	5.000	18.000	Ubangi	Niger-Congo	Simple Clauses
sla	Slave	1	Neutral	67.000	-125.000	Athapaskan	Na-Dene	Simple Clauses
sup	Supyire	1	Neutral	11.500	-5.583	Gur	Niger-Congo	Simple Clauses
swa	Swahili	1	Neutral	-6.500	39.000	Bantoid	Niger-Congo	Simple Clauses
tag	Tagalog	1	Neutral	15.000	121.000	Meso-Philippine	Austronesian	Simple Clauses
bma	Berber (Middle Atlas)	1	Neutral	33.000	-5.000	Berber	Afro-Asiatic	Simple Clauses
tha	Thai	1	Neutral	16.000	101.000	Kam-Tai	Tai-Kadai	Simple Clauses
tiw	Tiwi	1	Neutral	-11.500	131.000	Tiwian	Australian	Simple Clauses
vie	Vietnamese	1	Neutral	10.500	106.500	Viet-Muong	Austro-Asiatic	Simple Clauses
grw	Greenlandic (West)	1	Neutral	64.000	-51.000	Eskimo	Eskimo-Aleut	Simple Clauses
yag	Yagua	1	Neutral	-3.500	-72.000	Peba-Yaguan	Peba-Yaguan	Simple Clauses
zul	Zulu	1	Neutral	-30.000	30.000	Bantoid	Niger-Congo	Simple Clauses
abi	Abipón	1	Neutral	-29.000	-61.000	Guaicuruan	Guaicuruan	Simple Clauses
ain	Ainu	1	Neutral	43.000	143.000	Ainu	Ainu	Simple Clauses
bam	Bambara	1	Neutral	12.500	-7.500	Western Mande	Niger-Congo	Simple Clauses
khm	Khmer	1	Neutral	12.500	105.000	Khmer	Austro-Asiatic	Simple Clauses
car	Carib	1	Neutral	5.500	-56.000	Cariban	Cariban	Simple Clauses
cyv	Cayuvava	1	Neutral	-13.500	-65.500	Cayuvava	Cayuvava	Simple Clauses
tsi	Tsimshian (Coast)	1	Neutral	52.500	-129.000	Tsimshianic	Penutian	Simple Clauses
dio	Diola-Fogny	1	Neutral	13.000	-16.250	Northern Atlantic	Niger-Congo	Simple Clauses
ewe	Ewe	1	Neutral	6.333	0.417	Kwa	Niger-Congo	Simple Clauses
hai	Haida	1	Neutral	53.000	-132.000	Haida	Haida	Simple Clauses
hzb	Hunzib	1	Neutral	42.167	46.250	Avar-Andic-Tsezic	Nakh-Daghestanian	Simple Clauses
irq	Iraqw	1	Neutral	-4.000	35.500	Southern Cushitic	Afro-Asiatic	Simple Clauses
ham	Hamtai	1	Neutral	-7.500	146.250	Angan	Trans-New Guinea	Simple Clauses
bkr	Batak (Karo)	1	Neutral	3.250	98.250	Sumatra	Austronesian	Simple Clauses
kyl	Kayah Li (Eastern)	1	Neutral	19.000	97.500	Karen	Sino-Tibetan	Simple Clauses
ker	Kera	1	Neutral	9.833	15.083	East Chadic	Afro-Asiatic	Simple Clauses
ket	Ket	1	Neutral	64.000	87.000	Yeniseian	Yeniseian	Simple Clauses
kmu	Khmu'	1	Neutral	21.000	102.000	Palaung-Khmuic	Austro-Asiatic	Simple Clauses
kon	Kongo	1	Neutral	-5.000	15.000	Bantoid	Niger-Congo	Simple Clauses
kfe	Koromfe	1	Neutral	14.250	-0.917	Gur	Niger-Congo	Simple Clauses
lak	Lak	1	Neutral	42.167	47.167	Lak-Dargwa	Nakh-Daghestanian	Simple Clauses
cle	Chinantec (Lealao)	1	Neutral	17.333	-95.917	Chinantecan	Oto-Manguean	Simple Clauses
mrd	Marind	1	Neutral	-7.833	140.167	Marind Proper	Marind	Simple Clauses
mun	Mundari	1	Neutral	23.000	84.667	Munda	Austro-Asiatic	Simple Clauses
ndy	Ndyuka	1	Neutral	4.500	-54.500	Creoles and Pidgins	other	Simple Clauses
nti	Ngiti	1	Neutral	1.333	30.250	Lendu	Nilo-Saharan	Simple Clauses
niv	Nivkh	1	Neutral	53.333	142.000	Nivkh	Nivkh	Simple Clauses
nko	Nkore-Kiga	1	Neutral	-0.917	29.833	Bantoid	Niger-Congo	Simple Clauses
nug	Nunggubuyu	1	Neutral	-13.750	135.667	Nunggubuyu	Australian	Simple Clauses
