Anderson, Gregory D. S.. 2011. The Velar Nasal.
In: Dryer, Matthew S. & Haspelmath, Martin (eds.)
The World Atlas of Language Structures Online.
Munich: Max Planck Digital Library, feature 9A.
Available online at http://wals.info/feature/9A
Accessed on 2013-11-05.

wals code	name	value	description	latitude	longitude	genus	family	area
bag	Bagirmi	1	Initial velar nasal	11.667	16.000	Bongo-Bagirmi	Nilo-Saharan	Phonology
brm	Burmese	1	Initial velar nasal	21.000	96.000	Burmese-Lolo	Sino-Tibetan	Phonology
ckr	Canela-Krahô	1	Initial velar nasal	-6.000	-46.000	Ge-Kaingang	Macro-Ge	Phonology
cha	Chamorro	1	Initial velar nasal	13.450	144.750	Chamorro	Austronesian	Phonology
chk	Chukchi	1	Initial velar nasal	67.000	-173.000	Northern Chukotko-Kamchatkan	Chukotko-Kamchatkan	Phonology
fij	Fijian	1	Initial velar nasal	-17.833	178.000	Oceanic	Austronesian	Phonology
goo	Gooniyandi	1	Initial velar nasal	-18.333	126.333	Bunuban	Australian	Phonology
grb	Grebo	1	Initial velar nasal	5.000	-8.000	Kru	Niger-Congo	Phonology
ind	Indonesian	1	Initial velar nasal	0.000	106.000	Malayic	Austronesian	Phonology
kse	Koyraboro Senni	1	Initial velar nasal	16.000	0.000	Songhay	Nilo-Saharan	Phonology
kay	Kayardild	1	Initial velar nasal	-17.050	139.500	Tangkic	Australian	Phonology
kro	Krongo	1	Initial velar nasal	10.500	30.000	Kadugli	Kadugli	Phonology
lan	Lango	1	Initial velar nasal	2.167	33.000	Nilotic	Nilo-Saharan	Phonology
lav	Lavukaleve	1	Initial velar nasal	-9.083	159.200	Lavukaleve	Solomons East Papuan	Phonology
luv	Luvale	1	Initial velar nasal	-12.000	22.000	Bantoid	Niger-Congo	Phonology
mal	Malagasy	1	Initial velar nasal	-20.000	47.000	Barito	Austronesian	Phonology
myi	Mangarrayi	1	Initial velar nasal	-14.667	133.500	Mangarrayi	Australian	Phonology
map	Mapudungun	1	Initial velar nasal	-38.000	-72.000	Araucanian	Araucanian	Phonology
mrt	Martuthunira	1	Initial velar nasal	-20.833	116.500	Pama-Nyungan	Australian	Phonology
mau	Maung	1	Initial velar nasal	-11.917	133.500	Iwaidjan	Australian	Phonology
mei	Meithei	1	Initial velar nasal	24.750	94.000	Kuki-Chin	Sino-Tibetan	Phonology
ngi	Ngiyambaa	1	Initial velar nasal	-31.750	145.500	Pama-Nyungan	Australian	Phonology
pai	Paiwan	1	Initial velar nasal	22.500	120.833	Paiwanic	Austronesian	Phonology
ram	Rama	1	Initial velar nasal	11.750	-83.750	Rama	Chibchan	Phonology
rap	Rapanui	1	Initial velar nasal	-27.117	-109.367	Oceanic	Austronesian	Phonology
sup	Supyire	1	Initial velar nasal	11.500	-5.583	Gur	Niger-Congo	Phonology
swa	Swahili	1	Initial velar nasal	-6.500	39.000	Bantoid	Niger-Congo	Phonology
tag	Tagalog	1	Initial velar nasal	15.000	121.000	Meso-Philippine	Austronesian	Phonology
tha	Thai	1	Initial velar nasal	16.000	101.000	Kam-Tai	Tai-Kadai	Phonology
tiw	Tiwi	1	Initial velar nasal	-11.500	131.000	Tiwian	Australian	Phonology
tuk	Tukang Besi	1	Initial velar nasal	-5.500	123.500	Sulawesi	Austronesian	Phonology
